GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022201141,1610612746,LAC,LA,1629611,Terance Mann,Terance,F,,35.000000:12,3.0,6.0,0.5,1.0,3.0,0.333,4.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,11.0,18.0
0022201141,1610612746,LAC,LA,201587,Nicolas Batum,Nicolas,F,,19.000000:20,1.0,5.0,0.2,1.0,5.0,0.2,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,4.0,-8.0
0022201141,1610612746,LAC,LA,1627826,Ivica Zubac,Ivica,C,,22.000000:54,4.0,7.0,0.571,0.0,0.0,0.0,2.0,5.0,0.4,0.0,7.0,7.0,0.0,0.0,1.0,1.0,5.0,10.0,9.0
0022201141,1610612746,LAC,LA,201569,Eric Gordon,Eric,G,,27.000000:32,3.0,6.0,0.5,2.0,5.0,0.4,6.0,6.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,14.0,-6.0
0022201141,1610612746,LAC,LA,201566,Russell Westbrook,Russell,G,,35.000000:30,13.0,18.0,0.722,5.0,5.0,1.0,5.0,9.0,0.556,1.0,3.0,4.0,10.0,0.0,2.0,2.0,1.0,36.0,3.0
0022201141,1610612746,LAC,LA,203486,Mason Plumlee,Mason,,,22.000000:01,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,3.0,6.0,6.0
0022201141,1610612746,LAC,LA,1626181,Norman Powell,Norman,,,24.000000:10,4.0,9.0,0.444,2.0,6.0,0.333,3.0,4.0,0.75,0.0,1.0,1.0,1.0,2.0,0.0,4.0,3.0,13.0,1.0
0022201141,1610612746,LAC,LA,1630538,Bones Hyland,Bones,,,21.000000:36,8.0,14.0,0.571,4.0,6.0,0.667,0.0,0.0,0.0,1.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,20.0,11.0
0022201141,1610612746,LAC,LA,203496,Robert Covington,Robert,,,31.000000:46,9.0,10.0,0.9,7.0,7.0,1.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0,3.0,0.0,2.0,4.0,27.0,11.0
0022201141,1610612746,LAC,LA,1629599,Amir Coffey,Amir,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022201141,1610612746,LAC,LA,1631217,Moussa Diabate,Moussa,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022201141,1610612746,LAC,LA,1629875,Xavier Moon,Xavier,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022201141,1610612763,MEM,Memphis,1628415,Dillon Brooks,Dillon,F,,33.000000:42,12.0,24.0,0.5,2.0,9.0,0.222,4.0,6.0,0.667,1.0,5.0,6.0,4.0,1.0,1.0,0.0,3.0,30.0,1.0
0022201141,1610612763,MEM,Memphis,1630583,Santi Aldama,Santi,F,,32.000000:38,6.0,7.0,0.857,2.0,2.0,1.0,3.0,4.0,0.75,3.0,5.0,8.0,1.0,1.0,1.0,2.0,2.0,17.0,-1.0
0022201141,1610612763,MEM,Memphis,1630214,Xavier Tillman,Xavier,C,,31.000000:10,7.0,8.0,0.875,0.0,0.0,0.0,2.0,3.0,0.667,5.0,4.0,9.0,5.0,1.0,1.0,1.0,5.0,16.0,-16.0
0022201141,1610612763,MEM,Memphis,1628379,Luke Kennard,Luke,G,,32.000000:47,5.0,9.0,0.556,1.0,3.0,0.333,1.0,1.0,1.0,1.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,12.0,-8.0
0022201141,1610612763,MEM,Memphis,1629630,Ja Morant,Ja,G,,35.000000:17,11.0,28.0,0.393,2.0,9.0,0.222,12.0,12.0,1.0,0.0,4.0,4.0,9.0,3.0,0.0,8.0,3.0,36.0,-6.0
0022201141,1610612763,MEM,Memphis,1631223,David Roddy,David,,,31.000000:04,3.0,8.0,0.375,2.0,5.0,0.4,0.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,8.0,-11.0
0022201141,1610612763,MEM,Memphis,1631222,Jake LaRavia,Jake,,,21.000000:30,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0
0022201141,1610612763,MEM,Memphis,1631254,Kenneth Lofton Jr.,Kenneth,,,9.000000:09,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,-2.0
0022201141,1610612763,MEM,Memphis,1631113,Kennedy Chandler,Kennedy,,,12.000000:43,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,4.0,-3.0
0022201141,1610612763,MEM,Memphis,1629723,John Konchar,John,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0022201141,1610612763,MEM,Memphis,1630533,Ziaire Williams,Ziaire,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
