GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022200509,1610612761,Raptors,TOR,Toronto,240.000000:00,43,84,0.512,6,23,0.261,21,26,0.808,10,29,39,24,6,4,12,16,113,-11.0
0022200509,1610612746,Clippers,LAC,LA,240.000000:00,45,93,0.484,15,38,0.395,19,23,0.826,15,32,47,27,8,3,9,17,124,11.0
