GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022200191,1610612740,Pelicans,NOP,New Orleans,240.000000:00,42,86,0.488,8,29,0.276,27,31,0.871,12,24,36,28,13,1,12,23,119,13.0
0022200191,1610612745,Rockets,HOU,Houston,240.000000:00,40,79,0.506,12,36,0.333,14,18,0.778,10,33,43,24,7,4,26,23,106,-13.0
