City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Atlanta,Hawks,East,38-14,1,60,22,0.732,35-6,25-16,5-5,2014-15,2015,Atlanta Hawks,ATL
Golden State,Warriors,West,42-10,1,67,15,0.817,39-2,28-13,8-2,2014-15,2015,Golden State Warriors,GSW
Houston,Rockets,West,33-19,2,56,26,0.683,30-11,26-15,7-3,2014-15,2015,Houston Rockets,HOU
Cleveland,Cavaliers,East,35-17,2,53,29,0.646,31-10,22-19,7-3,2014-15,2015,Cleveland Cavaliers,CLE
Chicago,Bulls,East,33-19,3,50,32,0.61,27-14,23-18,7-3,2014-15,2015,Chicago Bulls,CHI
Los Angeles,Clippers,West,37-15,3,56,26,0.683,30-11,26-15,9-1,2014-15,2015,Los Angeles Clippers,LAC
Portland,Trail Blazers,West,31-21,4,51,31,0.622,32-9,19-22,4-6,2014-15,2015,Portland Trail Blazers,POR
Toronto,Raptors,East,33-19,4,49,33,0.598,27-14,22-19,7-3,2014-15,2015,Toronto Raptors,TOR
Memphis,Grizzlies,West,35-17,5,55,27,0.671,31-10,24-17,5-5,2014-15,2015,Memphis Grizzlies,MEM
Washington,Wizards,East,30-22,5,46,36,0.561,29-12,17-24,6-4,2014-15,2015,Washington Wizards,WAS
San Antonio,Spurs,West,32-20,6,55,27,0.671,33-8,22-19,9-1,2014-15,2015,San Antonio Spurs,SAS
Milwaukee,Bucks,East,30-22,6,41,41,0.5,23-18,18-23,5-5,2014-15,2015,Milwaukee Bucks,MIL
Boston,Celtics,East,28-24,7,40,42,0.488,21-20,19-22,8-2,2014-15,2015,Boston Celtics,BOS
Dallas,Mavericks,West,29-23,7,50,32,0.61,27-14,23-18,5-5,2014-15,2015,Dallas Mavericks,DAL
Brooklyn,Nets,East,24-28,8,38,44,0.463,19-22,19-22,6-4,2014-15,2015,Brooklyn Nets,BKN
New Orleans,Pelicans,West,29-23,8,45,37,0.549,28-13,17-24,7-3,2014-15,2015,New Orleans Pelicans,NOP
Indiana,Pacers,East,28-24,9,38,44,0.463,23-18,15-26,7-3,2014-15,2015,Indiana Pacers,IND
Oklahoma City,Thunder,West,25-27,9,45,37,0.549,29-12,16-25,4-6,2014-15,2015,Oklahoma City Thunder,OKC
Miami,Heat,East,25-27,10,37,45,0.451,20-21,17-24,4-6,2014-15,2015,Miami Heat,MIA
Phoenix,Suns,West,21-31,10,39,43,0.476,22-19,17-24,1-9,2014-15,2015,Phoenix Suns,PHX
Charlotte,Hornets,East,25-27,11,33,49,0.402,19-22,14-27,2-8,2014-15,2015,Charlotte Hornets,CHA
Utah,Jazz,West,23-29,11,38,44,0.463,21-20,17-24,7-3,2014-15,2015,Utah Jazz,UTA
Denver,Nuggets,West,19-33,12,30,52,0.366,19-22,11-30,3-7,2014-15,2015,Denver Nuggets,DEN
Detroit,Pistons,East,23-29,12,32,50,0.39,18-23,14-27,4-6,2014-15,2015,Detroit Pistons,DET
Sacramento,Kings,West,18-34,13,29,53,0.354,18-23,11-30,3-7,2014-15,2015,Sacramento Kings,SAC
Orlando,Magic,East,15-37,13,25,57,0.305,13-28,12-29,3-7,2014-15,2015,Orlando Magic,ORL
Los Angeles,Lakers,West,9-43,14,21,61,0.256,12-29,9-32,2-8,2014-15,2015,Los Angeles Lakers,LAL
Philadelphia,76ers,East,12-40,14,18,64,0.22,12-29,6-35,0-10,2014-15,2015,Philadelphia 76ers,PHI
New York,Knicks,East,11-41,15,17,65,0.207,10-31,7-34,3-7,2014-15,2015,New York Knicks,NYK
Minnesota,Timberwolves,West,7-45,15,16,66,0.195,9-32,7-34,0-10,2014-15,2015,Minnesota Timberwolves,MIN
