City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
San Antonio,Spurs,West,39-13,1,58,24,0.707,33-8,25-16,,2000-01,2001,San Antonio Spurs,SAS
Philadelphia,76ers,East,40-14,1,56,26,0.683,29-12,27-14,,2000-01,2001,Philadelphia 76ers,PHI
Los Angeles,Lakers,West,34-18,2,56,26,0.683,31-10,25-16,,2000-01,2001,Los Angeles Lakers,LAL
Milwaukee,Bucks,East,38-16,2,52,30,0.634,31-10,21-20,,2000-01,2001,Milwaukee Bucks,MIL
Sacramento,Kings,West,35-17,3,55,27,0.671,33-8,22-19,,2000-01,2001,Sacramento Kings,SAC
Miami,Heat,East,34-20,3,50,32,0.61,29-12,21-20,,2000-01,2001,Miami Heat,MIA
New York,Knicks,East,32-22,4,48,34,0.585,30-11,18-23,,2000-01,2001,New York Knicks,NYK
Utah,Jazz,West,31-21,4,53,29,0.646,28-13,25-16,,2000-01,2001,Utah Jazz,UTA
Dallas,Mavericks,West,30-22,4,53,29,0.646,28-13,25-16,,2000-01,2001,Dallas Mavericks,DAL
Toronto,Raptors,East,36-18,5,47,35,0.573,27-14,20-21,,2000-01,2001,Toronto Raptors,TOR
Phoenix,Suns,West,30-22,6,51,31,0.622,31-10,20-21,,2000-01,2001,Phoenix Suns,PHX
Charlotte,Hornets,East,37-17,6,46,36,0.561,28-13,18-23,,2000-01,2001,Charlotte Hornets,CHA
Orlando,Magic,East,30-24,7,43,39,0.524,26-15,17-24,,2000-01,2001,Orlando Magic,ORL
Portland,Trail Blazers,West,26-26,7,50,32,0.61,28-13,22-19,,2000-01,2001,Portland Trail Blazers,POR
Indiana,Pacers,East,29-25,8,41,41,0.5,26-15,15-26,,2000-01,2001,Indiana Pacers,IND
Minnesota,Timberwolves,West,27-25,8,47,35,0.573,30-11,17-24,,2000-01,2001,Minnesota Timberwolves,MIN
Boston,Celtics,East,24-30,9,36,46,0.439,20-21,16-25,,2000-01,2001,Boston Celtics,BOS
Houston,Rockets,West,20-32,9,45,37,0.549,24-17,21-20,,2000-01,2001,Houston Rockets,HOU
Seattle,SuperSonics,West,27-25,10,44,38,0.537,26-15,18-23,,2000-01,2001,Seattle SuperSonics,
Detroit,Pistons,East,25-29,10,32,50,0.39,18-23,14-27,,2000-01,2001,Detroit Pistons,DET
Denver,Nuggets,West,27-25,11,40,42,0.488,29-12,11-30,,2000-01,2001,Denver Nuggets,DEN
Cleveland,Cavaliers,East,22-32,11,30,52,0.366,20-21,10-31,,2000-01,2001,Cleveland Cavaliers,CLE
New Jersey,Nets,East,16-38,12,26,56,0.317,18-23,8-33,,2000-01,2001,New Jersey Nets,
Los Angeles,Clippers,West,18-34,12,31,51,0.378,22-19,9-32,,2000-01,2001,Los Angeles Clippers,LAC
Vancouver,Grizzlies,West,11-41,13,23,59,0.28,15-26,8-33,,2000-01,2001,Vancouver Grizzlies,
Atlanta,Hawks,East,16-38,13,25,57,0.305,18-23,7-34,,2000-01,2001,Atlanta Hawks,ATL
Washington,Wizards,East,13-41,14,19,63,0.232,12-29,7-34,,2000-01,2001,Washington Wizards,WAS
Golden State,Warriors,West,9-43,14,17,65,0.207,11-30,6-35,,2000-01,2001,Golden State Warriors,GSW
Chicago,Bulls,East,13-41,15,15,67,0.183,10-31,5-36,,2000-01,2001,Chicago Bulls,CHI
