City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Denver,Nuggets,West,34-18,1,53,29,0.646,34-7,19-22,5-5,2022-23,2023,Denver Nuggets,DEN
Milwaukee,Bucks,East,35-17,1,58,24,0.707,32-9,26-15,6-4,2022-23,2023,Milwaukee Bucks,MIL
Boston,Celtics,East,34-18,2,57,25,0.695,32-9,25-16,8-2,2022-23,2023,Boston Celtics,BOS
Memphis,Grizzlies,West,30-22,2,51,31,0.622,35-6,16-25,6-4,2022-23,2023,Memphis Grizzlies,MEM
Sacramento,Kings,West,32-20,3,48,34,0.585,23-18,25-16,5-5,2022-23,2023,Sacramento Kings,SAC
Philadelphia,76ers,East,34-18,3,54,28,0.659,29-12,25-16,5-5,2022-23,2023,Philadelphia 76ers,PHI
Phoenix,Suns,West,30-22,4,45,37,0.549,28-13,17-24,7-3,2022-23,2023,Phoenix Suns,PHX
Cleveland,Cavaliers,East,34-18,4,51,31,0.622,31-10,20-21,7-3,2022-23,2023,Cleveland Cavaliers,CLE
New York,Knicks,East,32-20,5,47,35,0.573,23-18,24-17,5-5,2022-23,2023,New York Knicks,NYK
LA,Clippers,West,27-25,5,44,38,0.537,23-18,21-20,6-4,2022-23,2023,LA Clippers,
Brooklyn,Nets,East,30-22,6,45,37,0.549,23-18,22-19,6-4,2022-23,2023,Brooklyn Nets,BKN
Golden State,Warriors,West,30-22,6,44,38,0.537,33-8,11-30,8-2,2022-23,2023,Golden State Warriors,GSW
Los Angeles,Lakers,West,27-25,7,43,39,0.524,23-18,20-21,8-2,2022-23,2023,Los Angeles Lakers,LAL
Miami,Heat,East,24-28,7,44,38,0.537,27-14,17-24,6-4,2022-23,2023,Miami Heat,MIA
Atlanta,Hawks,East,26-26,8,41,41,0.5,24-17,17-24,5-5,2022-23,2023,Atlanta Hawks,ATL
Minnesota,Timberwolves,West,29-23,8,42,40,0.512,22-19,20-21,7-3,2022-23,2023,Minnesota Timberwolves,MIN
New Orleans,Pelicans,West,29-23,9,42,40,0.512,27-14,15-26,7-3,2022-23,2023,New Orleans Pelicans,NOP
Toronto,Raptors,East,26-26,9,41,41,0.5,27-14,14-27,6-4,2022-23,2023,Toronto Raptors,TOR
Chicago,Bulls,East,27-25,10,40,42,0.488,22-19,18-23,6-4,2022-23,2023,Chicago Bulls,CHI
Oklahoma City,Thunder,West,25-27,10,40,42,0.488,24-17,16-25,4-6,2022-23,2023,Oklahoma City Thunder,OKC
Indiana,Pacers,East,24-28,11,35,47,0.427,20-21,15-26,3-7,2022-23,2023,Indiana Pacers,IND
Dallas,Mavericks,West,28-24,11,38,44,0.463,23-18,15-26,2-8,2022-23,2023,Dallas Mavericks,DAL
Utah,Jazz,West,24-28,12,37,45,0.451,23-18,14-27,2-8,2022-23,2023,Utah Jazz,UTA
Washington,Wizards,East,21-31,12,35,47,0.427,19-22,16-25,3-7,2022-23,2023,Washington Wizards,WAS
Orlando,Magic,East,20-32,13,34,48,0.415,20-21,14-27,5-5,2022-23,2023,Orlando Magic,ORL
Portland,Trail Blazers,West,23-29,13,33,49,0.402,17-24,16-25,1-9,2022-23,2023,Portland Trail Blazers,POR
Houston,Rockets,West,12-40,14,22,60,0.268,14-27,8-33,4-6,2022-23,2023,Houston Rockets,HOU
Charlotte,Hornets,East,15-37,14,27,55,0.329,13-28,14-27,5-5,2022-23,2023,Charlotte Hornets,CHA
Detroit,Pistons,East,8-44,15,17,65,0.207,9-32,8-33,1-9,2022-23,2023,Detroit Pistons,DET
San Antonio,Spurs,West,10-42,15,22,60,0.268,14-27,8-33,3-7,2022-23,2023,San Antonio Spurs,SAS
