City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Milwaukee,Bucks,East,40-12,1,60,22,0.732,33-8,27-14,7-3,2018-19,2019,Milwaukee Bucks,MIL
Golden State,Warriors,West,35-17,1,57,25,0.695,30-11,27-14,8-2,2018-19,2019,Golden State Warriors,GSW
Denver,Nuggets,West,34-18,2,54,28,0.659,34-7,20-21,5-5,2018-19,2019,Denver Nuggets,DEN
Toronto,Raptors,East,36-16,2,58,24,0.707,32-9,26-15,7-3,2018-19,2019,Toronto Raptors,TOR
Philadelphia,76ers,East,31-21,3,51,31,0.622,31-10,20-21,4-6,2018-19,2019,Philadelphia 76ers,PHI
Portland,Trail Blazers,West,29-23,3,53,29,0.646,32-9,21-20,8-2,2018-19,2019,Portland Trail Blazers,POR
Boston,Celtics,East,35-17,4,49,33,0.598,28-13,21-20,6-4,2018-19,2019,Boston Celtics,BOS
Houston,Rockets,West,32-20,4,53,29,0.646,31-10,22-19,8-2,2018-19,2019,Houston Rockets,HOU
Utah,Jazz,West,30-22,5,50,32,0.61,29-12,21-20,8-2,2018-19,2019,Utah Jazz,UTA
Indiana,Pacers,East,33-19,5,48,34,0.585,29-12,19-22,4-6,2018-19,2019,Indiana Pacers,IND
Brooklyn,Nets,East,29-23,6,42,40,0.512,23-18,19-22,6-4,2018-19,2019,Brooklyn Nets,BKN
Oklahoma City,Thunder,West,28-24,6,49,33,0.598,27-14,22-19,7-3,2018-19,2019,Oklahoma City Thunder,OKC
San Antonio,Spurs,West,30-22,7,48,34,0.585,32-9,16-25,6-4,2018-19,2019,San Antonio Spurs,SAS
Orlando,Magic,East,30-22,7,42,40,0.512,25-16,17-24,8-2,2018-19,2019,Orlando Magic,ORL
Detroit,Pistons,East,27-25,8,41,41,0.5,26-15,15-26,4-6,2018-19,2019,Detroit Pistons,DET
LA,Clippers,West,28-24,8,48,34,0.585,26-15,22-19,6-4,2018-19,2019,LA Clippers,
Charlotte,Hornets,East,29-23,9,39,43,0.476,25-16,14-27,6-4,2018-19,2019,Charlotte Hornets,CHA
Sacramento,Kings,West,21-31,9,39,43,0.476,24-17,15-26,3-7,2018-19,2019,Sacramento Kings,SAC
Los Angeles,Lakers,West,25-27,10,37,45,0.451,22-19,15-26,6-4,2018-19,2019,Los Angeles Lakers,LAL
Miami,Heat,East,23-29,10,39,43,0.476,19-22,20-21,4-6,2018-19,2019,Miami Heat,MIA
Minnesota,Timberwolves,West,22-30,11,36,46,0.439,25-16,11-30,4-6,2018-19,2019,Minnesota Timberwolves,MIN
Washington,Wizards,East,19-33,11,32,50,0.39,22-19,10-31,2-8,2018-19,2019,Washington Wizards,WAS
Memphis,Grizzlies,West,24-28,12,33,49,0.402,21-20,12-29,4-6,2018-19,2019,Memphis Grizzlies,MEM
Atlanta,Hawks,East,16-36,12,29,53,0.354,17-24,12-29,5-5,2018-19,2019,Atlanta Hawks,ATL
Chicago,Bulls,East,16-36,13,22,60,0.268,9-32,13-28,2-8,2018-19,2019,Chicago Bulls,CHI
New Orleans,Pelicans,West,23-29,13,33,49,0.402,19-22,14-27,3-7,2018-19,2019,New Orleans Pelicans,NOP
Cleveland,Cavaliers,East,15-37,14,19,63,0.232,13-28,6-35,0-10,2018-19,2019,Cleveland Cavaliers,CLE
Dallas,Mavericks,West,18-34,14,33,49,0.402,24-17,9-32,5-5,2018-19,2019,Dallas Mavericks,DAL
New York,Knicks,East,11-41,15,17,65,0.207,9-32,8-33,3-7,2018-19,2019,New York Knicks,NYK
Phoenix,Suns,West,11-41,15,19,63,0.232,12-29,7-34,2-8,2018-19,2019,Phoenix Suns,PHX
