City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Los Angeles,Lakers,West,43-15,1,57,25,0.695,35-6,22-19,,1988-89,1989,Los Angeles Lakers,LAL
Detroit,Pistons,East,41-15,1,63,19,0.768,37-4,26-15,,1988-89,1989,Detroit Pistons,DET
New York,Knicks,East,36-20,2,52,30,0.634,35-6,17-24,,1988-89,1989,New York Knicks,NYK
Utah,Jazz,West,37-21,2,51,31,0.622,34-7,17-24,,1988-89,1989,Utah Jazz,UTA
Cleveland,Cavaliers,East,38-18,3,57,25,0.695,37-4,20-21,,1988-89,1989,Cleveland Cavaliers,CLE
Phoenix,Suns,West,41-17,3,55,27,0.671,35-6,20-21,,1988-89,1989,Phoenix Suns,PHX
Seattle,SuperSonics,West,37-21,4,47,35,0.573,31-10,16-25,,1988-89,1989,Seattle SuperSonics,
Atlanta,Hawks,East,38-18,4,52,30,0.634,33-8,19-22,,1988-89,1989,Atlanta Hawks,ATL
Houston,Rockets,West,33-25,5,45,37,0.549,31-10,14-27,,1988-89,1989,Houston Rockets,HOU
Milwaukee,Bucks,East,29-27,5,49,33,0.598,31-10,18-23,,1988-89,1989,Milwaukee Bucks,MIL
Denver,Nuggets,West,32-26,6,44,38,0.537,35-6,9-32,,1988-89,1989,Denver Nuggets,DEN
Chicago,Bulls,East,28-28,6,47,35,0.573,30-11,17-24,,1988-89,1989,Chicago Bulls,CHI
Golden State,Warriors,West,29-29,7,43,39,0.524,29-12,14-27,,1988-89,1989,Golden State Warriors,GSW
Philadelphia,76ers,East,31-25,7,46,36,0.561,30-11,16-25,,1988-89,1989,Philadelphia 76ers,PHI
Portland,Trail Blazers,West,30-28,8,39,43,0.476,28-13,11-30,,1988-89,1989,Portland Trail Blazers,POR
Boston,Celtics,East,27-29,8,42,40,0.512,32-9,10-31,,1988-89,1989,Boston Celtics,BOS
Dallas,Mavericks,West,30-28,9,38,44,0.463,24-17,14-27,,1988-89,1989,Dallas Mavericks,DAL
Washington,Bullets,East,25-31,9,40,42,0.488,30-11,10-31,,1988-89,1989,Washington Bullets,
Sacramento,Kings,West,23-35,10,27,55,0.329,21-20,6-35,,1988-89,1989,Sacramento Kings,SAC
Indiana,Pacers,East,15-41,10,28,54,0.341,20-21,8-33,,1988-89,1989,Indiana Pacers,IND
Los Angeles,Clippers,West,17-41,11,21,61,0.256,17-24,4-37,,1988-89,1989,Los Angeles Clippers,LAC
New Jersey,Nets,East,16-40,11,26,56,0.317,17-24,9-32,,1988-89,1989,New Jersey Nets,
San Antonio,Spurs,West,15-43,11,21,61,0.256,18-23,3-38,,1988-89,1989,San Antonio Spurs,SAS
Charlotte,Hornets,East,12-44,12,20,62,0.244,12-29,8-33,,1988-89,1989,Charlotte Hornets,CHA
Miami,Heat,West,10-48,13,15,67,0.183,12-29,3-38,,1988-89,1989,Miami Heat,MIA
