City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Chicago,Bulls,East,42-12,1,61,21,0.744,35-6,26-15,,1990-91,1991,Chicago Bulls,CHI
Portland,Trail Blazers,West,42-14,1,63,19,0.768,36-5,27-14,,1990-91,1991,Portland Trail Blazers,POR
Boston,Celtics,East,35-19,2,56,26,0.683,35-6,21-20,,1990-91,1991,Boston Celtics,BOS
San Antonio,Spurs,West,36-20,2,55,27,0.671,33-8,22-19,,1990-91,1991,San Antonio Spurs,SAS
Los Angeles,Lakers,West,40-16,3,58,24,0.707,33-8,25-16,,1990-91,1991,Los Angeles Lakers,LAL
Detroit,Pistons,East,33-21,3,50,32,0.61,32-9,18-23,,1990-91,1991,Detroit Pistons,DET
Milwaukee,Bucks,East,33-21,4,48,34,0.585,33-8,15-26,,1990-91,1991,Milwaukee Bucks,MIL
Phoenix,Suns,West,35-21,4,55,27,0.671,32-9,23-18,,1990-91,1991,Phoenix Suns,PHX
Philadelphia,76ers,East,32-22,5,44,38,0.537,29-12,15-26,,1990-91,1991,Philadelphia 76ers,PHI
Utah,Jazz,West,38-18,5,54,28,0.659,36-5,18-23,,1990-91,1991,Utah Jazz,UTA
Atlanta,Hawks,East,26-28,6,43,39,0.524,29-12,14-27,,1990-91,1991,Atlanta Hawks,ATL
Houston,Rockets,West,33-23,6,52,30,0.634,31-10,21-20,,1990-91,1991,Houston Rockets,HOU
Golden State,Warriors,West,28-28,7,44,38,0.537,30-11,14-27,,1990-91,1991,Golden State Warriors,GSW
Indiana,Pacers,East,27-27,7,41,41,0.5,29-12,12-29,,1990-91,1991,Indiana Pacers,IND
New York,Knicks,East,28-26,8,39,43,0.476,21-20,18-23,,1990-91,1991,New York Knicks,NYK
Seattle,SuperSonics,West,27-29,8,41,41,0.5,28-13,13-28,,1990-91,1991,Seattle SuperSonics,
Cleveland,Cavaliers,East,23-31,9,33,49,0.402,23-18,10-31,,1990-91,1991,Cleveland Cavaliers,CLE
Los Angeles,Clippers,West,26-30,9,31,51,0.378,23-18,8-33,,1990-91,1991,Los Angeles Clippers,LAC
Orlando,Magic,West,23-33,9,31,51,0.378,24-17,7-34,,1990-91,1991,Orlando Magic,ORL
Washington,Bullets,East,22-32,10,30,52,0.366,21-20,9-32,,1990-91,1991,Washington Bullets,
Minnesota,Timberwolves,West,17-39,11,29,53,0.354,21-20,8-33,,1990-91,1991,Minnesota Timberwolves,MIN
New Jersey,Nets,East,18-36,11,26,56,0.317,20-21,6-35,,1990-91,1991,New Jersey Nets,
Charlotte,Hornets,East,17-37,11,26,56,0.317,17-24,9-32,,1990-91,1991,Charlotte Hornets,CHA
Dallas,Mavericks,West,17-39,12,28,54,0.341,20-21,8-33,,1990-91,1991,Dallas Mavericks,DAL
Miami,Heat,East,15-39,13,24,58,0.293,18-23,6-35,,1990-91,1991,Miami Heat,MIA
Sacramento,Kings,West,18-38,13,25,57,0.305,24-17,1-40,,1990-91,1991,Sacramento Kings,SAC
Denver,Nuggets,West,12-44,14,20,62,0.244,17-24,3-38,,1990-91,1991,Denver Nuggets,DEN
