City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Chicago,Bulls,East,47-9,1,67,15,0.817,36-5,31-10,,1991-92,1992,Chicago Bulls,CHI
Portland,Trail Blazers,West,37-17,1,57,25,0.695,33-8,24-17,,1991-92,1992,Portland Trail Blazers,POR
Boston,Celtics,East,35-21,2,51,31,0.622,34-7,17-24,,1991-92,1992,Boston Celtics,BOS
Golden State,Warriors,West,36-18,2,55,27,0.671,31-10,24-17,,1991-92,1992,Golden State Warriors,GSW
New York,Knicks,East,34-22,2,51,31,0.622,30-11,21-20,,1991-92,1992,New York Knicks,NYK
Utah,Jazz,West,37-17,2,55,27,0.671,37-4,18-23,,1991-92,1992,Utah Jazz,UTA
Cleveland,Cavaliers,East,42-14,4,57,25,0.695,35-6,22-19,,1991-92,1992,Cleveland Cavaliers,CLE
Phoenix,Suns,West,34-20,4,53,29,0.646,36-5,17-24,,1991-92,1992,Phoenix Suns,PHX
San Antonio,Spurs,West,34-20,5,47,35,0.573,31-10,16-25,,1991-92,1992,San Antonio Spurs,SAS
Seattle,SuperSonics,West,34-20,5,47,35,0.573,28-13,19-22,,1991-92,1992,Seattle SuperSonics,
Detroit,Pistons,East,31-25,5,48,34,0.585,25-16,23-18,,1991-92,1992,Detroit Pistons,DET
New Jersey,Nets,East,29-27,6,40,42,0.488,25-16,15-26,,1991-92,1992,New Jersey Nets,
Indiana,Pacers,East,27-29,6,40,42,0.488,26-15,14-27,,1991-92,1992,Indiana Pacers,IND
Los Angeles,Clippers,West,29-25,7,45,37,0.549,29-12,16-25,,1991-92,1992,Los Angeles Clippers,LAC
Atlanta,Hawks,East,23-33,8,38,44,0.463,23-18,15-26,,1991-92,1992,Atlanta Hawks,ATL
Los Angeles,Lakers,West,27-27,8,43,39,0.524,24-17,19-22,,1991-92,1992,Los Angeles Lakers,LAL
Miami,Heat,East,27-29,8,38,44,0.463,28-13,10-31,,1991-92,1992,Miami Heat,MIA
Houston,Rockets,West,26-28,9,42,40,0.512,28-13,14-27,,1991-92,1992,Houston Rockets,HOU
Philadelphia,76ers,East,23-33,10,35,47,0.427,23-18,12-29,,1991-92,1992,Philadelphia 76ers,PHI
Sacramento,Kings,West,17-37,10,29,53,0.354,21-20,8-33,,1991-92,1992,Sacramento Kings,SAC
Denver,Nuggets,West,14-40,11,24,58,0.293,18-23,6-35,,1991-92,1992,Denver Nuggets,DEN
Milwaukee,Bucks,East,22-34,11,31,51,0.378,25-16,6-35,,1991-92,1992,Milwaukee Bucks,MIL
Charlotte,Hornets,East,21-35,11,31,51,0.378,22-19,9-32,,1991-92,1992,Charlotte Hornets,CHA
Dallas,Mavericks,West,15-39,12,22,60,0.268,15-26,7-34,,1991-92,1992,Dallas Mavericks,DAL
Minnesota,Timberwolves,West,11-43,13,15,67,0.183,9-32,6-35,,1991-92,1992,Minnesota Timberwolves,MIN
Washington,Bullets,East,15-41,13,25,57,0.305,14-27,11-30,,1991-92,1992,Washington Bullets,
Orlando,Magic,East,16-40,14,21,61,0.256,13-28,8-33,,1991-92,1992,Orlando Magic,ORL
