City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
New Jersey,Nets,East,35-19,1,52,30,0.634,33-8,19-22,6-4,2001-02,2002,New Jersey Nets,
Sacramento,Kings,West,37-15,1,61,21,0.744,36-5,25-16,8-2,2001-02,2002,Sacramento Kings,SAC
Detroit,Pistons,East,38-16,2,50,32,0.61,26-15,24-17,7-3,2001-02,2002,Detroit Pistons,DET
San Antonio,Spurs,West,38-14,2,58,24,0.707,32-9,26-15,9-1,2001-02,2002,San Antonio Spurs,SAS
Boston,Celtics,East,35-19,3,49,33,0.598,27-14,22-19,8-2,2001-02,2002,Boston Celtics,BOS
Los Angeles,Lakers,West,37-15,3,58,24,0.707,34-7,24-17,7-3,2001-02,2002,Los Angeles Lakers,LAL
Dallas,Mavericks,West,34-18,4,57,25,0.695,30-11,27-14,7-3,2001-02,2002,Dallas Mavericks,DAL
Charlotte,Hornets,East,31-23,4,44,38,0.537,21-20,23-18,6-4,2001-02,2002,Charlotte Hornets,CHA
Minnesota,Timberwolves,West,29-23,5,50,32,0.61,29-12,21-20,6-4,2001-02,2002,Minnesota Timberwolves,MIN
Orlando,Magic,East,29-25,5,44,38,0.537,27-14,17-24,5-5,2001-02,2002,Orlando Magic,ORL
Philadelphia,76ers,East,31-23,6,43,39,0.524,22-19,21-20,5-5,2001-02,2002,Philadelphia 76ers,PHI
Portland,Trail Blazers,West,27-25,6,49,33,0.598,30-11,19-22,5-5,2001-02,2002,Portland Trail Blazers,POR
Seattle,SuperSonics,West,26-26,7,45,37,0.549,26-15,19-22,4-6,2001-02,2002,Seattle SuperSonics,
Toronto,Raptors,East,29-25,7,42,40,0.512,24-17,18-23,8-2,2001-02,2002,Toronto Raptors,TOR
Indiana,Pacers,East,27-27,8,42,40,0.512,25-16,17-24,6-4,2001-02,2002,Indiana Pacers,IND
Utah,Jazz,West,25-27,8,44,38,0.537,25-16,19-22,4-6,2001-02,2002,Utah Jazz,UTA
Milwaukee,Bucks,East,29-25,9,41,41,0.5,25-16,16-25,3-7,2001-02,2002,Milwaukee Bucks,MIL
Los Angeles,Clippers,West,23-29,9,39,43,0.476,25-16,14-27,3-7,2001-02,2002,Los Angeles Clippers,LAC
Phoenix,Suns,West,24-28,10,36,46,0.439,23-18,13-28,3-7,2001-02,2002,Phoenix Suns,PHX
Washington,Wizards,East,25-29,10,37,45,0.451,22-19,15-26,3-7,2001-02,2002,Washington Wizards,WAS
Miami,Heat,East,22-32,11,36,46,0.439,18-23,18-23,4-6,2001-02,2002,Miami Heat,MIA
Houston,Rockets,West,18-34,11,28,54,0.341,18-23,10-31,2-8,2001-02,2002,Houston Rockets,HOU
Denver,Nuggets,West,19-33,12,27,55,0.329,20-21,7-34,5-5,2001-02,2002,Denver Nuggets,DEN
Atlanta,Hawks,East,21-33,12,33,49,0.402,23-18,10-31,4-6,2001-02,2002,Atlanta Hawks,ATL
Memphis,Grizzlies,West,14-38,13,23,59,0.28,15-26,8-33,4-6,2001-02,2002,Memphis Grizzlies,MEM
New York,Knicks,East,20-34,13,30,52,0.366,19-22,11-30,3-7,2001-02,2002,New York Knicks,NYK
Golden State,Warriors,West,13-39,14,21,61,0.256,14-27,7-34,3-7,2001-02,2002,Golden State Warriors,GSW
Cleveland,Cavaliers,East,20-34,14,29,53,0.354,20-21,9-32,4-6,2001-02,2002,Cleveland Cavaliers,CLE
Chicago,Bulls,East,13-41,15,21,61,0.256,14-27,7-34,4-6,2001-02,2002,Chicago Bulls,CHI
