City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Miami,Heat,East,30-15,1,33,17,0.66,18-7,15-10,,1998-99,1999,Miami Heat,MIA
Indiana,Pacers,East,30-15,1,33,17,0.66,18-7,15-10,,1998-99,1999,Indiana Pacers,IND
Orlando,Magic,East,30-14,1,33,17,0.66,21-4,12-13,,1998-99,1999,Orlando Magic,ORL
San Antonio,Spurs,West,33-11,1,37,13,0.74,21-4,16-9,,1998-99,1999,San Antonio Spurs,SAS
Utah,Jazz,West,33-11,1,37,13,0.74,22-3,15-10,,1998-99,1999,Utah Jazz,UTA
Portland,Trail Blazers,West,30-14,3,35,15,0.7,22-3,13-12,,1998-99,1999,Portland Trail Blazers,POR
Los Angeles,Lakers,West,28-16,4,31,19,0.62,18-7,13-12,,1998-99,1999,Los Angeles Lakers,LAL
Houston,Rockets,West,28-16,4,31,19,0.62,19-6,12-13,,1998-99,1999,Houston Rockets,HOU
Atlanta,Hawks,East,27-18,4,31,19,0.62,16-9,15-10,,1998-99,1999,Atlanta Hawks,ATL
Detroit,Pistons,East,25-19,5,29,21,0.58,17-8,12-13,,1998-99,1999,Detroit Pistons,DET
Sacramento,Kings,West,23-21,6,27,23,0.54,16-9,11-14,,1998-99,1999,Sacramento Kings,SAC
Phoenix,Suns,West,26-18,6,27,23,0.54,15-10,12-13,,1998-99,1999,Phoenix Suns,PHX
Philadelphia,76ers,East,25-19,6,28,22,0.56,17-8,11-14,,1998-99,1999,Philadelphia 76ers,PHI
Milwaukee,Bucks,East,25-20,6,28,22,0.56,17-8,11-14,,1998-99,1999,Milwaukee Bucks,MIL
Minnesota,Timberwolves,West,22-22,8,25,25,0.5,18-7,7-18,,1998-99,1999,Minnesota Timberwolves,MIN
Seattle,SuperSonics,West,23-21,8,25,25,0.5,17-8,8-17,,1998-99,1999,Seattle SuperSonics,
New York,Knicks,East,24-21,8,27,23,0.54,19-6,8-17,,1998-99,1999,New York Knicks,NYK
Charlotte,Hornets,East,23-21,9,26,24,0.52,16-9,10-15,,1998-99,1999,Charlotte Hornets,CHA
Golden State,Warriors,West,18-26,10,21,29,0.42,13-12,8-17,,1998-99,1999,Golden State Warriors,GSW
Toronto,Raptors,East,19-26,10,23,27,0.46,14-11,9-16,,1998-99,1999,Toronto Raptors,TOR
Dallas,Mavericks,West,16-28,11,19,31,0.38,15-10,4-21,,1998-99,1999,Dallas Mavericks,DAL
Cleveland,Cavaliers,East,18-26,11,22,28,0.44,15-10,7-18,,1998-99,1999,Cleveland Cavaliers,CLE
Denver,Nuggets,West,12-32,12,14,36,0.28,12-13,2-23,,1998-99,1999,Denver Nuggets,DEN
Boston,Celtics,East,16-28,12,19,31,0.38,10-15,9-16,,1998-99,1999,Boston Celtics,BOS
Los Angeles,Clippers,West,8-36,13,9,41,0.18,6-19,3-22,,1998-99,1999,Los Angeles Clippers,LAC
Washington,Wizards,East,16-28,13,18,32,0.36,13-12,5-20,,1998-99,1999,Washington Wizards,WAS
Vancouver,Grizzlies,West,8-36,14,8,42,0.16,7-18,1-24,,1998-99,1999,Vancouver Grizzlies,
New Jersey,Nets,East,14-30,14,16,34,0.32,12-13,4-21,,1998-99,1999,New Jersey Nets,
Chicago,Bulls,East,11-33,15,13,37,0.26,8-17,5-20,,1998-99,1999,Chicago Bulls,CHI
