City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
LA,Clippers,West,27-15,0,47,25,0.653,26-10,21-15,4-6,2020-21,2021,LA Clippers,
Golden State,Warriors,West,25-17,0,39,33,0.542,25-11,14-22,8-2,2020-21,2021,Golden State Warriors,GSW
Indiana,Pacers,East,20-22,0,34,38,0.472,13-23,21-15,5-5,2020-21,2021,Indiana Pacers,IND
Oklahoma City,Thunder,West,12-30,0,22,50,0.306,10-26,12-24,1-9,2020-21,2021,Oklahoma City Thunder,OKC
San Antonio,Spurs,West,17-25,0,33,39,0.458,14-22,19-17,2-8,2020-21,2021,San Antonio Spurs,SAS
Boston,Celtics,East,20-22,0,36,36,0.5,21-15,15-21,4-6,2020-21,2021,Boston Celtics,BOS
Denver,Nuggets,West,26-16,0,47,25,0.653,25-11,22-14,6-4,2020-21,2021,Denver Nuggets,DEN
Los Angeles,Lakers,West,25-17,0,42,30,0.583,21-15,21-15,6-4,2020-21,2021,Los Angeles Lakers,LAL
Brooklyn,Nets,East,26-16,0,48,24,0.667,28-8,20-16,6-4,2020-21,2021,Brooklyn Nets,BKN
Philadelphia,76ers,East,31-11,0,49,23,0.681,29-7,20-16,8-2,2020-21,2021,Philadelphia 76ers,PHI
Chicago,Bulls,East,21-21,0,31,41,0.431,15-21,16-20,5-5,2020-21,2021,Chicago Bulls,CHI
Houston,Rockets,West,11-31,0,17,55,0.236,9-27,8-28,2-8,2020-21,2021,Houston Rockets,HOU
Milwaukee,Bucks,East,30-12,0,46,26,0.639,26-10,20-16,8-2,2020-21,2021,Milwaukee Bucks,MIL
New York,Knicks,East,25-17,0,41,31,0.569,25-11,16-20,7-3,2020-21,2021,New York Knicks,NYK
Utah,Jazz,West,28-14,0,52,20,0.722,31-5,21-15,7-3,2020-21,2021,Utah Jazz,UTA
Detroit,Pistons,East,12-30,0,20,52,0.278,13-23,7-29,1-9,2020-21,2021,Detroit Pistons,DET
Atlanta,Hawks,East,24-18,0,41,31,0.569,25-11,16-20,7-3,2020-21,2021,Atlanta Hawks,ATL
Cleveland,Cavaliers,East,16-26,0,22,50,0.306,13-23,9-27,1-9,2020-21,2021,Cleveland Cavaliers,CLE
New Orleans,Pelicans,West,18-24,0,31,41,0.431,18-18,13-23,4-6,2020-21,2021,New Orleans Pelicans,NOP
Dallas,Mavericks,West,21-21,0,42,30,0.583,21-15,21-15,7-3,2020-21,2021,Dallas Mavericks,DAL
Miami,Heat,East,24-18,0,40,32,0.556,21-15,19-17,8-2,2020-21,2021,Miami Heat,MIA
Minnesota,Timberwolves,West,15-27,0,23,49,0.319,13-23,10-26,5-5,2020-21,2021,Minnesota Timberwolves,MIN
Orlando,Magic,East,13-29,0,21,51,0.292,11-25,10-26,2-8,2020-21,2021,Orlando Magic,ORL
Phoenix,Suns,West,30-12,0,51,21,0.708,27-9,24-12,7-3,2020-21,2021,Phoenix Suns,PHX
Portland,Trail Blazers,West,23-19,0,42,30,0.583,20-16,22-14,8-2,2020-21,2021,Portland Trail Blazers,POR
Sacramento,Kings,West,18-24,0,31,41,0.431,16-20,15-21,6-4,2020-21,2021,Sacramento Kings,SAC
Toronto,Raptors,East,17-25,0,27,45,0.375,16-20,11-25,1-9,2020-21,2021,Toronto Raptors,TOR
Memphis,Grizzlies,West,19-23,0,38,34,0.528,18-18,20-16,6-4,2020-21,2021,Memphis Grizzlies,MEM
Washington,Wizards,East,16-26,0,34,38,0.472,19-17,15-21,6-4,2020-21,2021,Washington Wizards,WAS
Charlotte,Hornets,East,20-22,0,33,39,0.458,18-18,15-21,3-7,2020-21,2021,Charlotte Hornets,CHA
