City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Los Angeles,Lakers,West,40-12,1,67,15,0.817,36-5,31-10,,1999-00,2000,Los Angeles Lakers,LAL
Indiana,Pacers,East,36-18,1,56,26,0.683,36-5,20-21,,1999-00,2000,Indiana Pacers,IND
Miami,Heat,East,34-20,2,52,30,0.634,33-8,19-22,,1999-00,2000,Miami Heat,MIA
Utah,Jazz,West,33-19,2,55,27,0.671,31-10,24-17,,1999-00,2000,Utah Jazz,UTA
Portland,Trail Blazers,West,38-14,3,59,23,0.72,30-11,29-12,,1999-00,2000,Portland Trail Blazers,POR
New York,Knicks,East,32-22,3,50,32,0.61,33-8,17-24,,1999-00,2000,New York Knicks,NYK
Phoenix,Suns,West,30-22,4,53,29,0.646,32-9,21-20,,1999-00,2000,Phoenix Suns,PHX
Philadelphia,76ers,East,36-18,4,49,33,0.598,29-12,20-21,,1999-00,2000,Philadelphia 76ers,PHI
San Antonio,Spurs,West,33-19,4,53,29,0.646,31-10,22-19,,1999-00,2000,San Antonio Spurs,SAS
Charlotte,Hornets,East,36-18,4,49,33,0.598,30-11,19-22,,1999-00,2000,Charlotte Hornets,CHA
Minnesota,Timberwolves,West,32-20,6,50,32,0.61,26-15,24-17,,1999-00,2000,Minnesota Timberwolves,MIN
Toronto,Raptors,East,29-25,6,45,37,0.549,26-15,19-22,,1999-00,2000,Toronto Raptors,TOR
Seattle,SuperSonics,West,31-21,7,45,37,0.549,24-17,21-20,,1999-00,2000,Seattle SuperSonics,
Detroit,Pistons,East,30-24,7,42,40,0.512,27-14,15-26,,1999-00,2000,Detroit Pistons,DET
Milwaukee,Bucks,East,28-26,7,42,40,0.512,23-18,19-22,,1999-00,2000,Milwaukee Bucks,MIL
Sacramento,Kings,West,25-27,8,44,38,0.537,30-11,14-27,,1999-00,2000,Sacramento Kings,SAC
Dallas,Mavericks,West,28-24,9,40,42,0.488,22-19,18-23,,1999-00,2000,Dallas Mavericks,DAL
Orlando,Magic,East,27-27,9,41,41,0.5,26-15,15-26,,1999-00,2000,Orlando Magic,ORL
Denver,Nuggets,West,22-30,10,35,47,0.427,25-16,10-31,,1999-00,2000,Denver Nuggets,DEN
Boston,Celtics,East,24-30,10,35,47,0.427,26-15,9-32,,1999-00,2000,Boston Celtics,BOS
Cleveland,Cavaliers,East,20-34,11,32,50,0.39,22-19,10-31,,1999-00,2000,Cleveland Cavaliers,CLE
Houston,Rockets,West,23-29,11,34,48,0.415,22-19,12-29,,1999-00,2000,Houston Rockets,HOU
Vancouver,Grizzlies,West,12-40,12,22,60,0.268,12-29,10-31,,1999-00,2000,Vancouver Grizzlies,
New Jersey,Nets,East,21-33,12,31,51,0.378,22-19,9-32,,1999-00,2000,New Jersey Nets,
Golden State,Warriors,West,9-43,13,19,63,0.232,12-29,7-34,,1999-00,2000,Golden State Warriors,GSW
Washington,Wizards,East,19-35,13,29,53,0.354,17-24,12-29,,1999-00,2000,Washington Wizards,WAS
Los Angeles,Clippers,West,8-44,14,15,67,0.183,10-31,5-36,,1999-00,2000,Los Angeles Clippers,LAC
Atlanta,Hawks,East,20-34,14,28,54,0.341,21-20,7-34,,1999-00,2000,Atlanta Hawks,ATL
Chicago,Bulls,East,13-41,15,17,65,0.207,12-29,5-36,,1999-00,2000,Chicago Bulls,CHI
