City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Los Angeles,Lakers,West,47-13,1,65,17,0.793,37-4,28-13,,1986-87,1987,Los Angeles Lakers,LAL
Boston,Celtics,East,38-20,1,59,23,0.72,39-2,20-21,,1986-87,1987,Boston Celtics,BOS
Dallas,Mavericks,West,42-18,2,55,27,0.671,35-6,20-21,,1986-87,1987,Dallas Mavericks,DAL
Atlanta,Hawks,East,38-20,2,57,25,0.695,35-6,22-19,,1986-87,1987,Atlanta Hawks,ATL
Portland,Trail Blazers,West,35-25,3,49,33,0.598,34-7,15-26,,1986-87,1987,Portland Trail Blazers,POR
Detroit,Pistons,East,38-20,3,52,30,0.634,32-9,20-21,,1986-87,1987,Detroit Pistons,DET
Utah,Jazz,West,32-28,4,44,38,0.537,31-10,13-28,,1986-87,1987,Utah Jazz,UTA
Milwaukee,Bucks,East,34-24,4,50,32,0.61,32-9,18-23,,1986-87,1987,Milwaukee Bucks,MIL
Houston,Rockets,West,31-29,5,42,40,0.512,25-16,17-24,,1986-87,1987,Houston Rockets,HOU
Golden State,Warriors,West,32-28,5,42,40,0.512,25-16,17-24,,1986-87,1987,Golden State Warriors,GSW
Philadelphia,76ers,East,29-29,5,45,37,0.549,28-13,17-24,,1986-87,1987,Philadelphia 76ers,PHI
Washington,Bullets,East,26-32,6,42,40,0.512,27-14,15-26,,1986-87,1987,Washington Bullets,
Seattle,SuperSonics,West,32-28,7,39,43,0.476,25-16,14-27,,1986-87,1987,Seattle SuperSonics,
Indiana,Pacers,East,28-30,7,41,41,0.5,28-13,13-28,,1986-87,1987,Indiana Pacers,IND
Denver,Nuggets,West,28-32,8,37,45,0.451,27-14,10-31,,1986-87,1987,Denver Nuggets,DEN
Chicago,Bulls,East,30-28,8,40,42,0.488,29-12,11-30,,1986-87,1987,Chicago Bulls,CHI
Cleveland,Cavaliers,East,22-36,9,31,51,0.378,25-16,6-35,,1986-87,1987,Cleveland Cavaliers,CLE
Phoenix,Suns,West,28-32,9,36,46,0.439,26-15,10-31,,1986-87,1987,Phoenix Suns,PHX
Sacramento,Kings,West,22-38,10,29,53,0.354,20-21,9-32,,1986-87,1987,Sacramento Kings,SAC
New Jersey,Nets,East,20-38,10,24,58,0.293,19-22,5-36,,1986-87,1987,New Jersey Nets,
New York,Knicks,East,16-42,10,24,58,0.293,18-23,6-35,,1986-87,1987,New York Knicks,NYK
San Antonio,Spurs,West,20-40,11,28,54,0.341,21-20,7-34,,1986-87,1987,San Antonio Spurs,SAS
Los Angeles,Clippers,West,11-49,12,12,70,0.146,9-32,3-38,,1986-87,1987,Los Angeles Clippers,LAC
