GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022300715,1610612755,76ers,PHI,Philadelphia,240.000000:00,40,93,0.43,8,29,0.276,14,20,0.7,16,35,51,20,8,5,11,21,102,-16.0
0022300715,1610612742,Mavericks,DAL,Dallas,240.000000:00,42,87,0.483,17,43,0.395,17,23,0.739,8,36,44,28,6,4,9,16,118,16.0
