GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
2022300194,1612709933,RCR,Rip City,1641793,D'Moi Hodge,D'Moi,F,,15.000000:03,0.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,-14.0
2022300194,1612709933,RCR,Rip City,1630651,Romeo Weems,Romeo,F,,34.000000:59,3.0,6.0,0.5,1.0,3.0,0.333,0.0,1.0,0.0,2.0,4.0,6.0,5.0,1.0,0.0,2.0,5.0,7.0,-8.0
2022300194,1612709933,RCR,Rip City,1642022,George Conditt IV,George,C,,37.000000:46,9.0,14.0,0.643,0.0,2.0,0.0,4.0,6.0,0.667,4.0,7.0,11.0,5.0,0.0,2.0,4.0,3.0,24.0,7.0
2022300194,1612709933,RCR,Rip City,1630204,Ashton Hagans,Ashton,G,,16.000000:14,1.0,6.0,0.167,1.0,4.0,0.25,3.0,3.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,9.0,-12.0
2022300194,1612709933,RCR,Rip City,1641784,Antoine Davis,Antoine,G,,36.000000:10,9.0,19.0,0.474,6.0,14.0,0.429,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,4.0,2.0,27.0,-3.0
2022300194,1612709933,RCR,Rip City,1642024,Alex Reese,Alex,,,24.000000:43,5.0,10.0,0.5,5.0,10.0,0.5,1.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,2.0,3.0,5.0,17.0,-6.0
2022300194,1612709933,RCR,Rip City,1630575,Scottie Lewis,Scottie,,,30.000000:06,3.0,6.0,0.5,1.0,3.0,0.333,5.0,5.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,2.0,3.0,15.0,8.0
2022300194,1612709933,RCR,Rip City,1629699,Jarrey Foster,Jarrey,,,19.000000:57,3.0,7.0,0.429,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,6.0,-7.0
2022300194,1612709933,RCR,Rip City,1641789,Jazian Gortman,Jazian,,,25.000000:02,5.0,11.0,0.455,3.0,5.0,0.6,0.0,0.0,0.0,2.0,3.0,5.0,3.0,4.0,0.0,8.0,4.0,13.0,0.0
2022300194,1612709933,RCR,Rip City,203090,Maurice Harkless,Maurice,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
2022300194,1612709908,RGV,Rio Grande Valley,1630342,Trhae Mitchell,Trhae,F,,38.000000:38,4.0,6.0,0.667,1.0,2.0,0.5,2.0,4.0,0.5,2.0,6.0,8.0,4.0,0.0,1.0,1.0,2.0,11.0,-5.0
2022300194,1612709908,RGV,Rio Grande Valley,1630620,Darius Days,Darius,F,,38.000000:56,9.0,22.0,0.409,2.0,13.0,0.154,4.0,5.0,0.8,3.0,9.0,12.0,8.0,3.0,0.0,1.0,4.0,25.0,8.0
2022300194,1612709908,RGV,Rio Grande Valley,1629034,Ray Spalding,Ray,C,,35.000000:50,9.0,19.0,0.474,3.0,5.0,0.6,0.0,2.0,0.0,3.0,3.0,6.0,5.0,3.0,1.0,3.0,4.0,21.0,0.0
2022300194,1612709908,RGV,Rio Grande Valley,1629729,Josh Reaves,Josh,G,,23.000000:53,4.0,9.0,0.444,0.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,2.0,0.0,2.0,6.0,11.0,6.0
2022300194,1612709908,RGV,Rio Grande Valley,1629665,Jalen Lecque,Jalen,G,,14.000000:10,6.0,8.0,0.75,4.0,6.0,0.667,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,16.0,10.0
2022300194,1612709908,RGV,Rio Grande Valley,1629697,Joshua Obiesie,Joshua,,,27.000000:49,7.0,13.0,0.538,3.0,5.0,0.6,5.0,9.0,0.556,3.0,1.0,4.0,4.0,4.0,1.0,5.0,4.0,22.0,0.0
2022300194,1612709908,RGV,Rio Grande Valley,1629862,Shawn Occeus,Shawn,,,8.000000:32,2.0,4.0,0.5,2.0,3.0,0.667,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,7.0,11.0
2022300194,1612709908,RGV,Rio Grande Valley,1641999,John Knight III,John,,,28.000000:44,5.0,9.0,0.556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,3.0,1.0,4.0,3.0,10.0,1.0
2022300194,1612709908,RGV,Rio Grande Valley,1630571,Matthew Mayer,Matthew,,,23.000000:28,1.0,7.0,0.143,1.0,7.0,0.143,0.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,2.0,0.0,2.0,3.0,4.0
