GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022301070,1610612752,NYK,New York,1628978,Donte DiVincenzo,Donte,F,,49.000000:00,7.0,13.0,0.538,6.0,12.0,0.5,0.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,0.0,0.0,2.0,20.0,-10.0
0022301070,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,41.000000:51,4.0,13.0,0.308,2.0,5.0,0.4,2.0,2.0,1.0,4.0,8.0,12.0,8.0,1.0,0.0,2.0,3.0,12.0,20.0
0022301070,1610612752,NYK,New York,1628392,Isaiah Hartenstein,Isaiah,C,,28.000000:17,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,4.0,1.0,0.0,3.0,6.0,7.0,10.0
0022301070,1610612752,NYK,New York,1628973,Jalen Brunson,Jalen,G,,43.000000:20,25.0,47.0,0.532,5.0,13.0,0.385,6.0,6.0,1.0,1.0,3.0,4.0,6.0,1.0,0.0,1.0,2.0,61.0,20.0
0022301070,1610612752,NYK,New York,1630540,Miles McBride,Miles,G,,45.000000:52,3.0,9.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,2.0,0.0,2.0,3.0,4.0,0.0,1.0,3.0,7.0,-5.0
0022301070,1610612752,NYK,New York,1629011,Mitchell Robinson,Mitchell,,,19.000000:38,3.0,9.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,7.0,5.0,12.0,0.0,0.0,0.0,1.0,1.0,7.0,-10.0
0022301070,1610612752,NYK,New York,1630173,Precious Achiuwa,Precious,,,15.000000:41,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,1.0,4.0,6.0,-30.0
0022301070,1610612752,NYK,New York,202711,Bojan Bogdanović,Bojan,,,15.000000:20,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,-16.0
0022301070,1610612752,NYK,New York,1629003,Shake Milton,Shake,,,6.000000:01,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0
0022301070,1610612752,NYK,New York,202692,Alec Burks,Alec,,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0022301070,1610612752,NYK,New York,1629603,Mamadi Diakite,Mamadi,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022301070,1610612752,NYK,New York,1629610,DaQuan Jeffries,DaQuan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022301070,1610612752,NYK,New York,1630579,Jericho Sims,Jericho,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022301070,1610612759,SAS,San Antonio,1630577,Julian Champagnie,Julian,F,,28.000000:24,4.0,8.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,1.0,12.0,-6.0
0022301070,1610612759,SAS,San Antonio,1631110,Jeremy Sochan,Jeremy,F,,16.000000:45,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,-3.0
0022301070,1610612759,SAS,San Antonio,1641705,Victor Wembanyama,Victor,C,,37.000000:42,13.0,22.0,0.591,4.0,9.0,0.444,10.0,12.0,0.833,5.0,15.0,20.0,7.0,2.0,1.0,4.0,2.0,40.0,1.0
0022301070,1610612759,SAS,San Antonio,1630170,Devin Vassell,Devin,G,,44.000000:41,10.0,22.0,0.455,3.0,10.0,0.3,0.0,0.0,0.0,0.0,2.0,2.0,7.0,1.0,0.0,2.0,0.0,23.0,-9.0
0022301070,1610612759,SAS,San Antonio,1630200,Tre Jones,Tre,G,,35.000000:29,4.0,6.0,0.667,3.0,5.0,0.6,2.0,2.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,2.0,13.0,13.0
0022301070,1610612759,SAS,San Antonio,1628380,Zach Collins,Zach,,,15.000000:09,1.0,4.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,3.0,5.0
0022301070,1610612759,SAS,San Antonio,1629640,Keldon Johnson,Keldon,,,34.000000:50,4.0,8.0,0.5,2.0,6.0,0.333,7.0,8.0,0.875,1.0,4.0,5.0,4.0,0.0,0.0,2.0,2.0,17.0,23.0
0022301070,1610612759,SAS,San Antonio,1631104,Blake Wesley,Blake,,,12.000000:50,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,1.0,4.0,4.0,0.0
0022301070,1610612759,SAS,San Antonio,1626224,Cedi Osman,Cedi,,,20.000000:27,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,-9.0
0022301070,1610612759,SAS,San Antonio,1631103,Malaki Branham,Malaki,,,18.000000:43,3.0,4.0,0.75,2.0,2.0,1.0,2.0,4.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,10.0,5.0
0022301070,1610612759,SAS,San Antonio,1628984,Devonte' Graham,Devonte',,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022301070,1610612759,SAS,San Antonio,1630572,Sandro Mamukelashvili,Sandro,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
