Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
19.0,Devin Booker,28.0,PHO,SG,8.0,8.0,36.9,7.6,17.6,0.433,2.8,7.9,0.349,4.9,9.8,0.5,0.511,6.4,7.3,0.879,1.3,2.8,4.0,6.1,1.0,0.4,2.1,2.1,24.4,
20.0,Brandon Ingram,27.0,NOP,SF,9.0,9.0,33.2,9.7,19.6,0.494,2.4,6.8,0.361,7.2,12.8,0.565,0.557,2.3,2.7,0.875,1.1,5.0,6.1,4.6,0.9,0.7,2.9,2.8,24.1,
21.0,LeBron James,40.0,LAL,SF,8.0,8.0,35.0,8.6,16.9,0.511,2.8,5.9,0.468,5.9,11.0,0.534,0.593,4.0,5.1,0.78,0.3,6.6,6.9,7.5,0.6,0.4,2.9,1.8,24.0,
22.0,De'Aaron Fox,27.0,SAC,PG,8.0,8.0,37.0,8.4,18.1,0.462,2.0,6.9,0.291,6.4,11.3,0.567,0.517,5.0,5.8,0.87,1.0,3.8,4.8,5.1,2.0,0.0,3.8,3.0,23.8,
23.0,Donovan Mitchell,28.0,CLE,SG,9.0,9.0,30.2,8.9,18.3,0.485,3.1,7.9,0.394,5.8,10.4,0.553,0.57,2.9,3.6,0.813,0.6,2.4,3.0,4.1,1.4,0.2,2.6,2.1,23.8,
24.0,Trae Young,26.0,ATL,PG,9.0,9.0,35.9,7.0,18.2,0.384,2.9,9.3,0.31,4.1,8.9,0.463,0.463,6.9,7.8,0.886,1.1,3.4,4.6,10.9,1.3,0.2,4.6,1.9,23.8,
25.0,Karl-Anthony Towns,29.0,NYK,C,7.0,7.0,32.1,8.1,15.9,0.514,2.3,4.0,0.571,5.9,11.9,0.494,0.586,4.6,5.0,0.914,3.6,9.4,13.0,2.3,0.7,1.0,1.7,3.0,23.1,
26.0,Kyrie Irving,32.0,DAL,PG,8.0,8.0,35.0,8.6,17.4,0.496,3.0,5.5,0.545,5.6,11.9,0.474,0.583,2.8,3.1,0.88,1.4,3.1,4.5,4.6,1.5,0.3,1.6,2.1,23.0,
27.0,Cade Cunningham,23.0,DET,PG,9.0,9.0,36.0,9.1,19.3,0.471,2.0,5.8,0.346,7.1,13.6,0.525,0.523,2.7,3.4,0.774,0.9,5.9,6.8,7.7,0.6,0.8,4.6,2.7,22.9,
28.0,Tyler Herro,25.0,MIA,SG,7.0,7.0,31.1,7.7,15.4,0.5,4.0,8.7,0.459,3.7,6.7,0.553,0.63,3.3,4.0,0.821,0.1,4.7,4.9,4.4,0.4,0.3,2.3,2.4,22.7,
29.0,Zach LaVine,29.0,CHI,SG,6.0,6.0,34.7,7.7,15.5,0.495,3.7,8.0,0.458,4.0,7.5,0.533,0.613,3.7,4.5,0.815,0.3,5.2,5.5,2.7,0.8,0.5,3.7,1.3,22.7,
30.0,Zion Williamson,24.0,NOP,PF,6.0,6.0,31.0,7.8,17.3,0.452,0.3,1.0,0.333,7.5,16.3,0.459,0.462,6.7,10.0,0.667,2.7,5.3,8.0,5.3,0.7,1.2,3.7,3.0,22.7,
31.0,Jalen Green,22.0,HOU,SG,8.0,8.0,33.8,7.5,18.9,0.397,3.6,9.5,0.382,3.9,9.4,0.413,0.493,4.0,4.8,0.842,0.4,4.3,4.6,3.1,0.8,0.5,2.5,2.0,22.6,
32.0,Jordan Poole,25.0,WAS,SG,6.0,6.0,31.0,7.3,16.3,0.449,4.0,8.8,0.453,3.3,7.5,0.444,0.571,3.8,4.2,0.92,0.3,0.8,1.2,5.0,2.8,1.2,3.0,3.2,22.5,
33.0,Julius Randle,30.0,MIN,PF,8.0,8.0,33.4,7.8,13.6,0.569,1.8,4.0,0.438,6.0,9.6,0.623,0.633,4.3,5.4,0.791,1.9,5.0,6.9,4.5,0.8,0.0,2.9,2.5,21.5,
34.0,Stephen Curry,36.0,GSW,PG,5.0,5.0,27.6,6.4,14.6,0.438,3.8,9.0,0.422,2.6,5.6,0.464,0.568,4.6,4.6,1.0,0.2,5.0,5.2,7.0,2.0,0.4,3.2,1.4,21.2,
