City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Boston,Celtics,East,41-11,1,64,18,0.78,37-4 ,27-14,7-3  ,2023-24,2024,Boston Celtics,BOS
Oklahoma City,Thunder,West,36-16,1,57,25,0.695,33-8 ,24-17,7-3  ,2023-24,2024,Oklahoma City Thunder,OKC
Denver,Nuggets,West,33-19,2,57,25,0.695,33-8 ,24-17,6-4  ,2023-24,2024,Denver Nuggets,DEN
New York,Knicks,East,35-17,2,50,32,0.61,27-14,23-18,6-4  ,2023-24,2024,New York Knicks,NYK
Milwaukee,Bucks,East,34-18,3,49,33,0.598,31-11,18-22,3-7  ,2023-24,2024,Milwaukee Bucks,MIL
Minnesota,Timberwolves,West,37-15,3,56,26,0.683,30-11,26-15,6-4  ,2023-24,2024,Minnesota Timberwolves,MIN
Cleveland,Cavaliers,East,31-21,4,48,34,0.585,26-15,22-19,4-6  ,2023-24,2024,Cleveland Cavaliers,CLE
LA,Clippers,West,30-22,4,51,31,0.622,25-16,26-15,6-4  ,2023-24,2024,LA Clippers,
Orlando,Magic,East,32-20,5,47,35,0.573,29-12,18-23,5-5  ,2023-24,2024,Orlando Magic,ORL
Dallas,Mavericks,West,31-21,5,50,32,0.61,25-16,25-16,7-3  ,2023-24,2024,Dallas Mavericks,DAL
Indiana,Pacers,East,32-20,6,47,35,0.573,26-15,21-20,7-3  ,2023-24,2024,Indiana Pacers,IND
Phoenix,Suns,West,29-23,6,49,33,0.598,25-16,24-17,7-3  ,2023-24,2024,Phoenix Suns,PHX
Philadelphia,76ers,East,31-21,7,47,35,0.573,25-16,22-19,8-2  ,2023-24,2024,Philadelphia 76ers,PHI
New Orleans,Pelicans,West,30-22,7,49,33,0.598,21-19,28-14,5-5  ,2023-24,2024,New Orleans Pelicans,NOP
Los Angeles,Lakers,West,27-25,8,47,35,0.573,28-14,19-21,7-3  ,2023-24,2024,Los Angeles Lakers,LAL
Miami,Heat,East,32-20,8,46,36,0.561,22-19,24-17,7-3  ,2023-24,2024,Miami Heat,MIA
Chicago,Bulls,East,22-29,9,39,43,0.476,20-21,19-22,5-5  ,2023-24,2024,Chicago Bulls,CHI
Sacramento,Kings,West,30-22,9,46,36,0.561,24-17,22-19,4-6  ,2023-24,2024,Sacramento Kings,SAC
Golden State,Warriors,West,26-26,10,46,36,0.561,21-20,25-16,8-2  ,2023-24,2024,Golden State Warriors,GSW
Atlanta,Hawks,East,22-30,10,36,46,0.439,21-20,15-26,3-7  ,2023-24,2024,Atlanta Hawks,ATL
Brooklyn,Nets,East,24-28,11,32,50,0.39,20-21,12-29,5-5  ,2023-24,2024,Brooklyn Nets,BKN
Houston,Rockets,West,28-24,11,41,41,0.5,27-14,14-27,4-6  ,2023-24,2024,Houston Rockets,HOU
Utah,Jazz,West,16-36,12,31,51,0.378,21-20,10-31,2-8  ,2023-24,2024,Utah Jazz,UTA
Toronto,Raptors,East,18-34,12,25,57,0.305,14-27,11-30,2-8  ,2023-24,2024,Toronto Raptors,TOR
Memphis,Grizzlies,West,14-37,13,27,55,0.329,9-32 ,18-23,3-7  ,2023-24,2024,Memphis Grizzlies,MEM
Charlotte,Hornets,East,14-38,13,21,61,0.256,11-30,10-31,3-7  ,2023-24,2024,Charlotte Hornets,CHA
San Antonio,Spurs,West,14-37,14,22,60,0.268,12-29,10-31,6-4  ,2023-24,2024,San Antonio Spurs,SAS
Washington,Wizards,East,11-41,14,15,67,0.183,7-34 ,8-33 ,1-9  ,2023-24,2024,Washington Wizards,WAS
Detroit,Pistons,East,10-41,15,14,68,0.171,7-33 ,7-35 ,2-8  ,2023-24,2024,Detroit Pistons,DET
Portland,Trail Blazers,West,8-44 ,15,21,61,0.256,11-30,10-31,2-8  ,2023-24,2024,Portland Trail Blazers,POR
