City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Boston,Celtics,East,43-15,1,63,19,0.768,35-6,28-13,,1984-85,1985,Boston Celtics,BOS
Los Angeles,Lakers,West,47-13,1,62,20,0.756,36-5,26-15,,1984-85,1985,Los Angeles Lakers,LAL
Denver,Nuggets,West,37-23,2,52,30,0.634,34-7,18-23,,1984-85,1985,Denver Nuggets,DEN
Milwaukee,Bucks,East,39-19,2,59,23,0.72,36-5,23-18,,1984-85,1985,Milwaukee Bucks,MIL
Houston,Rockets,West,36-24,3,48,34,0.585,29-12,19-22,,1984-85,1985,Houston Rockets,HOU
Philadelphia,76ers,East,40-18,3,58,24,0.707,34-7,24-17,,1984-85,1985,Philadelphia 76ers,PHI
Dallas,Mavericks,West,33-27,4,44,38,0.537,24-17,20-21,,1984-85,1985,Dallas Mavericks,DAL
Detroit,Pistons,East,31-27,4,46,36,0.561,26-15,20-21,,1984-85,1985,Detroit Pistons,DET
New Jersey,Nets,East,34-24,5,42,40,0.512,27-14,15-26,,1984-85,1985,New Jersey Nets,
Portland,Trail Blazers,West,29-31,5,42,40,0.512,30-11,12-29,,1984-85,1985,Portland Trail Blazers,POR
San Antonio,Spurs,West,31-29,6,41,41,0.5,30-11,11-30,,1984-85,1985,San Antonio Spurs,SAS
Utah,Jazz,West,32-28,6,41,41,0.5,26-15,15-26,,1984-85,1985,Utah Jazz,UTA
Washington,Bullets,East,28-30,6,40,42,0.488,28-13,12-29,,1984-85,1985,Washington Bullets,
Chicago,Bulls,East,24-34,7,38,44,0.463,26-15,12-29,,1984-85,1985,Chicago Bulls,CHI
Cleveland,Cavaliers,East,25-33,8,36,46,0.439,20-21,16-25,,1984-85,1985,Cleveland Cavaliers,CLE
Phoenix,Suns,West,27-33,8,36,46,0.439,26-15,10-31,,1984-85,1985,Phoenix Suns,PHX
Atlanta,Hawks,East,25-33,9,34,48,0.415,19-22,15-26,,1984-85,1985,Atlanta Hawks,ATL
Los Angeles,Clippers,West,26-34,9,31,51,0.378,20-21,11-30,,1984-85,1985,Los Angeles Clippers,LAC
Kansas City,Kings,West,22-38,9,31,51,0.378,23-18,8-33,,1984-85,1985,Kansas City Kings,
Seattle,SuperSonics,West,23-37,9,31,51,0.378,20-21,11-30,,1984-85,1985,Seattle SuperSonics,
New York,Knicks,East,16-42,10,24,58,0.293,19-22,5-36,,1984-85,1985,New York Knicks,NYK
Indiana,Pacers,East,14-44,11,22,60,0.268,16-25,6-35,,1984-85,1985,Indiana Pacers,IND
Golden State,Warriors,West,17-43,12,22,60,0.268,17-24,5-36,,1984-85,1985,Golden State Warriors,GSW
