City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Boston,Celtics,East,39-19,1,57,25,0.695,36-5,21-20,,1987-88,1988,Boston Celtics,BOS
Los Angeles,Lakers,West,46-14,1,62,20,0.756,36-5,26-15,,1987-88,1988,Los Angeles Lakers,LAL
Denver,Nuggets,West,39-21,2,54,28,0.659,35-6,19-22,,1987-88,1988,Denver Nuggets,DEN
Detroit,Pistons,East,39-19,2,54,28,0.659,34-7,20-21,,1987-88,1988,Detroit Pistons,DET
Atlanta,Hawks,East,35-23,3,50,32,0.61,30-11,20-21,,1987-88,1988,Atlanta Hawks,ATL
Chicago,Bulls,East,34-24,3,50,32,0.61,30-11,20-21,,1987-88,1988,Chicago Bulls,CHI
Dallas,Mavericks,West,41-19,3,53,29,0.646,33-8,20-21,,1987-88,1988,Dallas Mavericks,DAL
Portland,Trail Blazers,West,39-21,3,53,29,0.646,33-8,20-21,,1987-88,1988,Portland Trail Blazers,POR
Cleveland,Cavaliers,East,30-28,5,42,40,0.512,31-10,11-30,,1987-88,1988,Cleveland Cavaliers,CLE
Milwaukee,Bucks,East,28-30,5,42,40,0.512,30-11,12-29,,1987-88,1988,Milwaukee Bucks,MIL
Utah,Jazz,West,38-22,5,47,35,0.573,33-8,14-27,,1987-88,1988,Utah Jazz,UTA
Houston,Rockets,West,33-27,6,46,36,0.561,31-10,15-26,,1987-88,1988,Houston Rockets,HOU
New York,Knicks,East,27-31,7,38,44,0.463,29-12,9-32,,1987-88,1988,New York Knicks,NYK
Indiana,Pacers,East,25-33,7,38,44,0.463,25-16,13-28,,1987-88,1988,Indiana Pacers,IND
Seattle,SuperSonics,West,31-29,7,44,38,0.537,32-9,12-29,,1987-88,1988,Seattle SuperSonics,
Washington,Bullets,East,26-32,7,38,44,0.463,25-16,13-28,,1987-88,1988,Washington Bullets,
San Antonio,Spurs,West,25-35,8,31,51,0.378,23-18,8-33,,1987-88,1988,San Antonio Spurs,SAS
Phoenix,Suns,West,21-39,9,28,54,0.341,22-19,6-35,,1987-88,1988,Phoenix Suns,PHX
Philadelphia,76ers,East,25-33,10,36,46,0.439,27-14,9-32,,1987-88,1988,Philadelphia 76ers,PHI
Sacramento,Kings,West,19-41,10,24,58,0.293,19-22,5-36,,1987-88,1988,Sacramento Kings,SAC
Golden State,Warriors,West,15-45,11,20,62,0.244,16-25,4-37,,1987-88,1988,Golden State Warriors,GSW
New Jersey,Nets,East,11-47,11,19,63,0.232,16-25,3-38,,1987-88,1988,New Jersey Nets,
Los Angeles,Clippers,West,13-47,12,17,65,0.207,14-27,3-38,,1987-88,1988,Los Angeles Clippers,LAC
