City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Oklahoma City,Thunder,West,39-13,1,60,22,0.732,34-7,26-15,7-3,2012-13,2013,Oklahoma City Thunder,OKC
Miami,Heat,East,41-11,1,66,16,0.805,37-4,29-12,9-1,2012-13,2013,Miami Heat,MIA
San Antonio,Spurs,West,33-19,2,58,24,0.707,35-6,23-18,3-7,2012-13,2013,San Antonio Spurs,SAS
New York,Knicks,East,37-15,2,54,28,0.659,31-10,23-18,8-2,2012-13,2013,New York Knicks,NYK
Denver,Nuggets,West,38-14,3,57,25,0.695,38-3,19-22,8-2,2012-13,2013,Denver Nuggets,DEN
Indiana,Pacers,East,31-20,3,49,32,0.605,30-11,19-21,5-5,2012-13,2013,Indiana Pacers,IND
Brooklyn,Nets,East,36-16,4,49,33,0.598,26-15,23-18,7-3,2012-13,2013,Brooklyn Nets,BKN
Los Angeles,Clippers,West,35-17,4,56,26,0.683,32-9,24-17,7-3,2012-13,2013,Los Angeles Clippers,LAC
Chicago,Bulls,East,34-18,5,45,37,0.549,24-17,21-20,5-5,2012-13,2013,Chicago Bulls,CHI
Memphis,Grizzlies,West,34-18,5,56,26,0.683,32-9,24-17,8-2,2012-13,2013,Memphis Grizzlies,MEM
Golden State,Warriors,West,28-24,6,47,35,0.573,28-13,19-22,6-4,2012-13,2013,Golden State Warriors,GSW
Atlanta,Hawks,East,29-23,6,44,38,0.537,25-16,19-22,4-6,2012-13,2013,Atlanta Hawks,ATL
Boston,Celtics,East,27-24,7,41,40,0.506,27-13,14-27,4-6,2012-13,2013,Boston Celtics,BOS
Los Angeles,Lakers,West,28-24,7,45,37,0.549,29-12,16-25,8-2,2012-13,2013,Los Angeles Lakers,LAL
Houston,Rockets,West,24-28,8,45,37,0.549,29-12,16-25,6-4,2012-13,2013,Houston Rockets,HOU
Milwaukee,Bucks,East,24-28,8,38,44,0.463,21-20,17-24,3-7,2012-13,2013,Milwaukee Bucks,MIL
Philadelphia,76ers,East,22-30,9,34,48,0.415,23-18,11-30,5-5,2012-13,2013,Philadelphia 76ers,PHI
Utah,Jazz,West,26-26,9,43,39,0.524,30-11,13-28,7-3,2012-13,2013,Utah Jazz,UTA
Dallas,Mavericks,West,24-28,10,41,41,0.5,24-17,17-24,6-4,2012-13,2013,Dallas Mavericks,DAL
Toronto,Raptors,East,22-30,10,34,48,0.415,21-20,13-28,7-3,2012-13,2013,Toronto Raptors,TOR
Detroit,Pistons,East,25-27,11,29,53,0.354,18-23,11-30,5-5,2012-13,2013,Detroit Pistons,DET
Portland,Trail Blazers,West,18-34,11,33,49,0.402,22-19,11-30,0-10,2012-13,2013,Portland Trail Blazers,POR
Minnesota,Timberwolves,West,17-35,12,31,51,0.378,20-21,11-30,5-5,2012-13,2013,Minnesota Timberwolves,MIN
Washington,Wizards,East,15-37,12,29,53,0.354,22-19,7-34,3-7,2012-13,2013,Washington Wizards,WAS
Sacramento,Kings,West,14-38,13,28,54,0.341,20-21,8-33,2-8,2012-13,2013,Sacramento Kings,SAC
Cleveland,Cavaliers,East,18-34,13,24,58,0.293,14-27,10-31,2-8,2012-13,2013,Cleveland Cavaliers,CLE
Charlotte,Bobcats,East,18-34,14,21,61,0.256,15-26,6-35,4-6,2012-13,2013,Charlotte Bobcats,
New Orleans,Hornets,West,15-37,14,27,55,0.329,16-25,11-30,2-8,2012-13,2013,New Orleans Hornets,
Orlando,Magic,East,10-42,15,20,62,0.244,12-29,8-33,2-8,2012-13,2013,Orlando Magic,ORL
Phoenix,Suns,West,17-35,15,25,57,0.305,17-24,8-33,2-8,2012-13,2013,Phoenix Suns,PHX
