City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Detroit,Pistons,East,36-16,1,53,29,0.646,26-15,27-14,7-3,2006-07,2007,Detroit Pistons,DET
Dallas,Mavericks,West,40-12,1,67,15,0.817,36-5,31-10,6-4,2006-07,2007,Dallas Mavericks,DAL
Cleveland,Cavaliers,East,31-21,2,50,32,0.61,30-11,20-21,7-3,2006-07,2007,Cleveland Cavaliers,CLE
Phoenix,Suns,West,36-16,2,61,21,0.744,33-8,28-13,7-3,2006-07,2007,Phoenix Suns,PHX
San Antonio,Spurs,West,38-14,3,58,24,0.707,31-10,27-14,6-4,2006-07,2007,San Antonio Spurs,SAS
Toronto,Raptors,East,33-19,3,47,35,0.573,30-11,17-24,7-3,2006-07,2007,Toronto Raptors,TOR
Utah,Jazz,West,32-20,4,51,31,0.622,31-10,20-21,4-6,2006-07,2007,Utah Jazz,UTA
Miami,Heat,East,27-25,4,44,38,0.537,27-14,17-24,5-5,2006-07,2007,Miami Heat,MIA
Chicago,Bulls,East,36-16,5,49,33,0.598,31-10,18-23,7-3,2006-07,2007,Chicago Bulls,CHI
Houston,Rockets,West,28-24,5,52,30,0.634,28-13,24-17,6-4,2006-07,2007,Houston Rockets,HOU
Denver,Nuggets,West,27-25,6,45,37,0.549,23-18,22-19,9-1,2006-07,2007,Denver Nuggets,DEN
New Jersey,Nets,East,31-21,6,41,41,0.5,24-17,17-24,8-2,2006-07,2007,New Jersey Nets,
Los Angeles,Lakers,West,28-24,7,42,40,0.512,25-16,17-24,4-6,2006-07,2007,Los Angeles Lakers,LAL
Washington,Wizards,East,27-25,7,41,41,0.5,26-15,15-26,2-8,2006-07,2007,Washington Wizards,WAS
Golden State,Warriors,West,28-24,8,42,40,0.512,30-11,12-29,9-1,2006-07,2007,Golden State Warriors,GSW
Orlando,Magic,East,26-26,8,40,42,0.488,25-16,15-26,7-3,2006-07,2007,Orlando Magic,ORL
Indiana,Pacers,East,25-27,9,35,47,0.427,22-19,13-28,4-6,2006-07,2007,Indiana Pacers,IND
Los Angeles,Clippers,West,23-29,9,40,42,0.488,25-16,15-26,5-5,2006-07,2007,Los Angeles Clippers,LAC
Philadelphia,76ers,East,24-28,10,35,47,0.427,21-20,14-27,6-4,2006-07,2007,Philadelphia 76ers,PHI
New Orleans/Oklahoma City,Hornets,West,23-29,10,39,43,0.476,24-17,15-26,7-3,2006-07,2007,New Orleans/Oklahoma City Hornets,
Sacramento,Kings,West,18-34,11,33,49,0.402,20-21,13-28,3-7,2006-07,2007,Sacramento Kings,SAC
Charlotte,Bobcats,East,24-28,11,33,49,0.402,20-21,13-28,6-4,2006-07,2007,Charlotte Bobcats,
New York,Knicks,East,22-30,12,33,49,0.402,19-22,14-27,2-8,2006-07,2007,New York Knicks,NYK
Portland,Trail Blazers,West,19-33,12,32,50,0.39,18-23,14-27,3-7,2006-07,2007,Portland Trail Blazers,POR
Atlanta,Hawks,East,17-35,13,30,52,0.366,18-23,12-29,3-7,2006-07,2007,Atlanta Hawks,ATL
Minnesota,Timberwolves,West,18-34,13,32,50,0.39,20-21,12-29,2-8,2006-07,2007,Minnesota Timberwolves,MIN
Milwaukee,Bucks,East,15-37,14,28,54,0.341,18-23,10-31,3-7,2006-07,2007,Milwaukee Bucks,MIL
Seattle,SuperSonics,West,18-34,14,31,51,0.378,20-21,11-30,1-9,2006-07,2007,Seattle SuperSonics,
Boston,Celtics,East,16-36,15,24,58,0.293,12-29,12-29,2-8,2006-07,2007,Boston Celtics,BOS
Memphis,Grizzlies,West,14-38,15,22,60,0.268,14-27,8-33,4-6,2006-07,2007,Memphis Grizzlies,MEM
