City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Orlando,Magic,East,39-17,1,57,25,0.695,39-2,18-23,,1994-95,1995,Orlando Magic,ORL
San Antonio,Spurs,West,41-13,1,62,20,0.756,33-8,29-12,,1994-95,1995,San Antonio Spurs,SAS
Phoenix,Suns,West,39-15,2,59,23,0.72,32-9,27-14,,1994-95,1995,Phoenix Suns,PHX
Indiana,Pacers,East,35-21,2,52,30,0.634,33-8,19-22,,1994-95,1995,Indiana Pacers,IND
New York,Knicks,East,37-19,3,55,27,0.671,29-12,26-15,,1994-95,1995,New York Knicks,NYK
Utah,Jazz,West,36-18,3,60,22,0.732,33-8,27-14,,1994-95,1995,Utah Jazz,UTA
Charlotte,Hornets,East,36-20,4,50,32,0.61,29-12,21-20,,1994-95,1995,Charlotte Hornets,CHA
Seattle,SuperSonics,West,34-20,4,57,25,0.695,32-9,25-16,,1994-95,1995,Seattle SuperSonics,
Los Angeles,Lakers,West,30-24,5,48,34,0.585,29-12,19-22,,1994-95,1995,Los Angeles Lakers,LAL
Chicago,Bulls,East,35-21,5,47,35,0.573,28-13,19-22,,1994-95,1995,Chicago Bulls,CHI
Cleveland,Cavaliers,East,33-23,6,43,39,0.524,26-15,17-24,,1994-95,1995,Cleveland Cavaliers,CLE
Houston,Rockets,West,27-27,6,47,35,0.573,25-16,22-19,,1994-95,1995,Houston Rockets,HOU
Portland,Trail Blazers,West,28-26,7,44,38,0.537,26-15,18-23,,1994-95,1995,Portland Trail Blazers,POR
Atlanta,Hawks,East,28-28,7,42,40,0.512,24-17,18-23,,1994-95,1995,Atlanta Hawks,ATL
Denver,Nuggets,West,27-27,8,41,41,0.5,23-18,18-23,,1994-95,1995,Denver Nuggets,DEN
Boston,Celtics,East,24-32,8,35,47,0.427,20-21,15-26,,1994-95,1995,Boston Celtics,BOS
Sacramento,Kings,West,25-29,9,39,43,0.476,27-14,12-29,,1994-95,1995,Sacramento Kings,SAC
Milwaukee,Bucks,East,26-30,9,34,48,0.415,22-19,12-29,,1994-95,1995,Milwaukee Bucks,MIL
Miami,Heat,East,25-31,10,32,50,0.39,22-19,10-31,,1994-95,1995,Miami Heat,MIA
Dallas,Mavericks,West,23-31,10,36,46,0.439,19-22,17-24,,1994-95,1995,Dallas Mavericks,DAL
Golden State,Warriors,West,19-35,11,26,56,0.317,15-26,11-30,,1994-95,1995,Golden State Warriors,GSW
New Jersey,Nets,East,21-35,11,30,52,0.366,20-21,10-31,,1994-95,1995,New Jersey Nets,
Minnesota,Timberwolves,West,12-42,12,21,61,0.256,13-28,8-33,,1994-95,1995,Minnesota Timberwolves,MIN
Detroit,Pistons,East,21-35,12,28,54,0.341,22-19,6-35,,1994-95,1995,Detroit Pistons,DET
Los Angeles,Clippers,West,10-44,13,17,65,0.207,13-28,4-37,,1994-95,1995,Los Angeles Clippers,LAC
Philadelphia,76ers,East,16-40,13,24,58,0.293,14-27,10-31,,1994-95,1995,Philadelphia 76ers,PHI
Washington,Bullets,East,16-40,14,21,61,0.256,13-28,8-33,,1994-95,1995,Washington Bullets,
