City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Miami,Heat,East,35-17,1,53,29,0.646,29-12,24-17,6-4,2021-22,2022,Miami Heat,MIA
Phoenix,Suns,West,39-13,1,64,18,0.78,32-9,32-9,6-4,2021-22,2022,Phoenix Suns,PHX
Boston,Celtics,East,33-19,2,51,31,0.622,28-13,23-18,7-3,2021-22,2022,Boston Celtics,BOS
Memphis,Grizzlies,West,36-16,2,56,26,0.683,30-11,26-15,7-3,2021-22,2022,Memphis Grizzlies,MEM
Golden State,Warriors,West,33-19,3,53,29,0.646,31-10,22-19,6-4,2021-22,2022,Golden State Warriors,GSW
Milwaukee,Bucks,East,33-19,3,51,31,0.622,27-14,24-17,6-4,2021-22,2022,Milwaukee Bucks,MIL
Philadelphia,76ers,East,32-20,4,51,31,0.622,24-17,27-14,6-4,2021-22,2022,Philadelphia 76ers,PHI
Dallas,Mavericks,West,36-16,4,52,30,0.634,29-12,23-18,8-2,2021-22,2022,Dallas Mavericks,DAL
Utah,Jazz,West,33-19,5,49,33,0.598,29-12,20-21,4-6,2021-22,2022,Utah Jazz,UTA
Toronto,Raptors,East,30-22,5,48,34,0.585,24-17,24-17,8-2,2021-22,2022,Toronto Raptors,TOR
Denver,Nuggets,West,29-23,6,48,34,0.585,23-18,25-16,6-4,2021-22,2022,Denver Nuggets,DEN
Chicago,Bulls,East,29-23,6,46,36,0.561,27-14,19-22,4-6,2021-22,2022,Chicago Bulls,CHI
Brooklyn,Nets,East,31-21,7,44,38,0.537,20-21,24-17,6-4,2021-22,2022,Brooklyn Nets,BKN
Minnesota,Timberwolves,West,32-20,7,46,36,0.561,26-15,20-21,4-6,2021-22,2022,Minnesota Timberwolves,MIN
Cleveland,Cavaliers,East,27-25,8,44,38,0.537,25-16,19-22,3-7,2021-22,2022,Cleveland Cavaliers,CLE
LA,Clippers,West,26-26,8,42,40,0.512,25-16,17-24,6-4,2021-22,2022,LA Clippers,
New Orleans,Pelicans,West,25-27,9,36,46,0.439,19-22,17-24,6-4,2021-22,2022,New Orleans Pelicans,NOP
Atlanta,Hawks,East,26-26,9,43,39,0.524,27-14,16-25,7-3,2021-22,2022,Atlanta Hawks,ATL
San Antonio,Spurs,West,24-28,10,34,48,0.415,16-25,18-23,6-4,2021-22,2022,San Antonio Spurs,SAS
Charlotte,Hornets,East,27-25,10,43,39,0.524,22-19,21-20,6-4,2021-22,2022,Charlotte Hornets,CHA
Los Angeles,Lakers,West,18-34,11,33,49,0.402,21-20,12-29,2-8,2021-22,2022,Los Angeles Lakers,LAL
New York,Knicks,East,22-30,11,37,45,0.451,17-24,20-21,7-3,2021-22,2022,New York Knicks,NYK
Sacramento,Kings,West,20-32,12,30,52,0.366,16-25,14-27,5-5,2021-22,2022,Sacramento Kings,SAC
Washington,Wizards,East,24-28,12,35,47,0.427,21-20,14-27,5-5,2021-22,2022,Washington Wizards,WAS
Indiana,Pacers,East,11-41,13,25,57,0.305,16-25,9-32,0-10,2021-22,2022,Indiana Pacers,IND
Portland,Trail Blazers,West,11-41,13,27,55,0.329,17-24,10-31,0-10,2021-22,2022,Portland Trail Blazers,POR
Oklahoma City,Thunder,West,17-35,14,24,58,0.293,12-29,12-29,4-6,2021-22,2022,Oklahoma City Thunder,OKC
Detroit,Pistons,East,18-34,14,23,59,0.28,13-28,10-31,4-6,2021-22,2022,Detroit Pistons,DET
Houston,Rockets,West,11-41,15,20,62,0.244,11-30,9-32,2-8,2021-22,2022,Houston Rockets,HOU
Orlando,Magic,East,12-40,15,22,60,0.268,12-29,10-31,3-7,2021-22,2022,Orlando Magic,ORL
