City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
San Antonio,Spurs,West,35-13,1,50,16,0.758,28-5,22-11,10-0,2011-12,2012,San Antonio Spurs,SAS
Chicago,Bulls,East,38-10,1,50,16,0.758,26-7,24-9,7-3,2011-12,2012,Chicago Bulls,CHI
Oklahoma City,Thunder,West,34-14,2,47,19,0.712,26-7,21-12,6-4,2011-12,2012,Oklahoma City Thunder,OKC
Miami,Heat,East,35-13,2,46,20,0.697,28-5,18-15,6-4,2011-12,2012,Miami Heat,MIA
Los Angeles,Lakers,West,32-16,3,41,25,0.621,26-7,15-18,6-4,2011-12,2012,Los Angeles Lakers,LAL
Indiana,Pacers,East,29-19,3,42,24,0.636,23-10,19-14,8-2,2011-12,2012,Indiana Pacers,IND
Boston,Celtics,East,32-16,4,39,27,0.591,24-9,15-18,7-3,2011-12,2012,Boston Celtics,BOS
Memphis,Grizzlies,West,26-22,4,41,25,0.621,26-7,15-18,8-2,2011-12,2012,Memphis Grizzlies,MEM
Atlanta,Hawks,East,31-17,5,40,26,0.606,23-10,17-16,7-3,2011-12,2012,Atlanta Hawks,ATL
Los Angeles,Clippers,West,29-19,5,40,26,0.606,24-9,16-17,6-4,2011-12,2012,Los Angeles Clippers,LAC
Denver,Nuggets,West,22-26,6,38,28,0.576,20-13,18-15,8-2,2011-12,2012,Denver Nuggets,DEN
Orlando,Magic,East,30-18,6,37,29,0.561,21-12,16-17,4-6,2011-12,2012,Orlando Magic,ORL
New York,Knicks,East,28-20,7,36,30,0.545,22-11,14-19,7-3,2011-12,2012,New York Knicks,NYK
Dallas,Mavericks,West,26-22,7,36,30,0.545,23-10,13-20,5-5,2011-12,2012,Dallas Mavericks,DAL
Philadelphia,76ers,East,28-20,8,35,31,0.53,19-14,16-17,6-4,2011-12,2012,Philadelphia 76ers,PHI
Utah,Jazz,West,25-23,8,36,30,0.545,25-8,11-22,7-3,2011-12,2012,Utah Jazz,UTA
Houston,Rockets,West,23-25,9,34,32,0.515,22-11,12-21,3-7,2011-12,2012,Houston Rockets,HOU
Milwaukee,Bucks,East,24-24,9,31,35,0.47,17-16,14-19,3-7,2011-12,2012,Milwaukee Bucks,MIL
Phoenix,Suns,West,23-25,10,33,33,0.5,19-14,14-19,4-6,2011-12,2012,Phoenix Suns,PHX
Detroit,Pistons,East,20-28,10,25,41,0.379,18-15,7-26,4-6,2011-12,2012,Detroit Pistons,DET
Portland,Trail Blazers,West,20-28,11,28,38,0.424,20-13,8-25,1-9,2011-12,2012,Portland Trail Blazers,POR
Toronto,Raptors,East,15-33,11,23,43,0.348,13-20,10-23,3-7,2011-12,2012,Toronto Raptors,TOR
New Jersey,Nets,East,16-32,12,22,44,0.333,9-24,13-20,3-7,2011-12,2012,New Jersey Nets,
Minnesota,Timberwolves,West,19-29,12,26,40,0.394,13-20,13-20,1-9,2011-12,2012,Minnesota Timberwolves,MIN
Golden State,Warriors,West,16-32,13,23,43,0.348,12-21,11-22,1-9,2011-12,2012,Golden State Warriors,GSW
Cleveland,Cavaliers,East,13-35,13,21,45,0.318,11-22,10-23,2-8,2011-12,2012,Cleveland Cavaliers,CLE
Sacramento,Kings,West,16-32,14,22,44,0.333,16-17,6-27,3-7,2011-12,2012,Sacramento Kings,SAC
Washington,Wizards,East,16-32,14,20,46,0.303,11-22,9-24,8-2,2011-12,2012,Washington Wizards,WAS
New Orleans,Hornets,West,14-34,15,21,45,0.318,11-22,10-23,6-4,2011-12,2012,New Orleans Hornets,
Charlotte,Bobcats,East,5-43,15,7,59,0.106,4-29,3-30,0-10,2011-12,2012,Charlotte Bobcats,
