City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Chicago,Bulls,East,42-12,1,62,20,0.756,37-4,25-16,,1997-98,1998,Chicago Bulls,CHI
Utah,Jazz,West,38-14,1,62,20,0.756,36-5,26-15,,1997-98,1998,Utah Jazz,UTA
Miami,Heat,East,36-18,2,55,27,0.671,30-11,25-16,,1997-98,1998,Miami Heat,MIA
Los Angeles,Lakers,West,42-10,2,61,21,0.744,33-8,28-13,,1997-98,1998,Los Angeles Lakers,LAL
Seattle,SuperSonics,West,39-13,2,61,21,0.744,35-6,26-15,,1997-98,1998,Seattle SuperSonics,
Indiana,Pacers,East,41-13,3,58,24,0.707,32-9,26-15,,1997-98,1998,Indiana Pacers,IND
Phoenix,Suns,West,37-15,4,56,26,0.683,30-11,26-15,,1997-98,1998,Phoenix Suns,PHX
San Antonio,Spurs,West,33-19,4,56,26,0.683,31-10,25-16,,1997-98,1998,San Antonio Spurs,SAS
Charlotte,Hornets,East,31-23,4,51,31,0.622,32-9,19-22,,1997-98,1998,Charlotte Hornets,CHA
Atlanta,Hawks,East,34-20,5,50,32,0.61,29-12,21-20,,1997-98,1998,Atlanta Hawks,ATL
Cleveland,Cavaliers,East,28-26,6,47,35,0.573,27-14,20-21,,1997-98,1998,Cleveland Cavaliers,CLE
Portland,Trail Blazers,West,33-19,6,46,36,0.561,26-15,20-21,,1997-98,1998,Portland Trail Blazers,POR
Minnesota,Timberwolves,West,30-22,7,45,37,0.549,26-15,19-22,,1997-98,1998,Minnesota Timberwolves,MIN
New Jersey,Nets,East,27-27,7,43,39,0.524,26-15,17-24,,1997-98,1998,New Jersey Nets,
New York,Knicks,East,27-27,7,43,39,0.524,28-13,15-26,,1997-98,1998,New York Knicks,NYK
Houston,Rockets,West,29-23,8,41,41,0.5,24-17,17-24,,1997-98,1998,Houston Rockets,HOU
Sacramento,Kings,West,18-34,9,27,55,0.329,21-20,6-35,,1997-98,1998,Sacramento Kings,SAC
Washington,Wizards,East,24-30,9,42,40,0.512,24-17,18-23,,1997-98,1998,Washington Wizards,WAS
Dallas,Mavericks,West,13-39,10,20,62,0.244,13-28,7-34,,1997-98,1998,Dallas Mavericks,DAL
Orlando,Magic,East,24-30,10,41,41,0.5,24-17,17-24,,1997-98,1998,Orlando Magic,ORL
Golden State,Warriors,West,15-37,11,19,63,0.232,12-29,7-34,,1997-98,1998,Golden State Warriors,GSW
Vancouver,Grizzlies,West,14-38,11,19,63,0.232,14-27,5-36,,1997-98,1998,Vancouver Grizzlies,
Detroit,Pistons,East,25-29,11,37,45,0.451,25-16,12-29,,1997-98,1998,Detroit Pistons,DET
Boston,Celtics,East,23-31,12,36,46,0.439,24-17,12-29,,1997-98,1998,Boston Celtics,BOS
Milwaukee,Bucks,East,20-34,12,36,46,0.439,21-20,15-26,,1997-98,1998,Milwaukee Bucks,MIL
Los Angeles,Clippers,West,14-38,13,17,65,0.207,11-30,6-35,,1997-98,1998,Los Angeles Clippers,LAC
Denver,Nuggets,West,9-43,14,11,71,0.134,9-32,2-39,,1997-98,1998,Denver Nuggets,DEN
Philadelphia,76ers,East,16-38,14,31,51,0.378,19-22,12-29,,1997-98,1998,Philadelphia 76ers,PHI
Toronto,Raptors,East,7-47,15,16,66,0.195,9-32,7-34,,1997-98,1998,Toronto Raptors,TOR
