City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Indiana,Pacers,East,38-14,1,56,26,0.683,35-6,21-20,4-6,2013-14,2014,Indiana Pacers,IND
San Antonio,Spurs,West,38-14,1,62,20,0.756,32-9,30-11,6-4,2013-14,2014,San Antonio Spurs,SAS
Oklahoma City,Thunder,West,36-16,2,59,23,0.72,34-7,25-16,6-4,2013-14,2014,Oklahoma City Thunder,OKC
Miami,Heat,East,34-18,2,54,28,0.659,32-9,22-19,4-6,2013-14,2014,Miami Heat,MIA
Los Angeles,Clippers,West,36-16,3,57,25,0.695,34-7,23-18,7-3,2013-14,2014,Los Angeles Clippers,LAC
Toronto,Raptors,East,32-20,3,48,34,0.585,26-15,22-19,7-3,2013-14,2014,Toronto Raptors,TOR
Chicago,Bulls,East,35-17,4,48,34,0.585,27-14,21-20,8-2,2013-14,2014,Chicago Bulls,CHI
Houston,Rockets,West,31-21,4,54,28,0.659,33-8,21-20,5-5,2013-14,2014,Houston Rockets,HOU
Portland,Trail Blazers,West,31-21,5,54,28,0.659,31-10,23-18,9-1,2013-14,2014,Portland Trail Blazers,POR
Washington,Wizards,East,33-19,5,44,38,0.537,22-19,22-19,7-3,2013-14,2014,Washington Wizards,WAS
Brooklyn,Nets,East,26-26,6,44,38,0.537,28-13,16-25,5-5,2013-14,2014,Brooklyn Nets,BKN
Golden State,Warriors,West,31-21,6,51,31,0.622,27-14,24-17,6-4,2013-14,2014,Golden State Warriors,GSW
Memphis,Grizzlies,West,29-23,7,50,32,0.61,27-14,23-18,7-3,2013-14,2014,Memphis Grizzlies,MEM
Charlotte,Bobcats,East,30-22,7,43,39,0.524,25-16,18-23,8-2,2013-14,2014,Charlotte Bobcats,
Atlanta,Hawks,East,28-24,8,38,44,0.463,24-17,14-27,7-3,2013-14,2014,Atlanta Hawks,ATL
Dallas,Mavericks,West,29-23,8,49,33,0.598,26-15,23-18,6-4,2013-14,2014,Dallas Mavericks,DAL
New York,Knicks,East,26-26,9,37,45,0.451,19-22,18-23,7-3,2013-14,2014,New York Knicks,NYK
Phoenix,Suns,West,28-24,9,48,34,0.585,26-15,22-19,5-5,2013-14,2014,Phoenix Suns,PHX
Cleveland,Cavaliers,East,21-31,10,33,49,0.402,19-22,14-27,5-5,2013-14,2014,Cleveland Cavaliers,CLE
Minnesota,Timberwolves,West,23-29,10,40,42,0.488,24-17,16-25,4-6,2013-14,2014,Minnesota Timberwolves,MIN
Denver,Nuggets,West,20-32,11,36,46,0.439,22-19,14-27,4-6,2013-14,2014,Denver Nuggets,DEN
Detroit,Pistons,East,23-29,11,29,53,0.354,17-24,12-29,3-7,2013-14,2014,Detroit Pistons,DET
Boston,Celtics,East,21-31,12,25,57,0.305,16-25,9-32,2-8,2013-14,2014,Boston Celtics,BOS
New Orleans,Pelicans,West,15-37,12,34,48,0.415,22-19,12-29,2-8,2013-14,2014,New Orleans Pelicans,NOP
Orlando,Magic,East,17-35,13,23,59,0.28,19-22,4-37,3-7,2013-14,2014,Orlando Magic,ORL
Sacramento,Kings,West,15-37,13,28,54,0.341,17-24,11-30,3-7,2013-14,2014,Sacramento Kings,SAC
Los Angeles,Lakers,West,15-37,14,27,55,0.329,14-27,13-28,3-7,2013-14,2014,Los Angeles Lakers,LAL
Philadelphia,76ers,East,14-38,14,19,63,0.232,10-31,9-32,4-6,2013-14,2014,Philadelphia 76ers,PHI
Milwaukee,Bucks,East,12-40,15,15,67,0.183,10-31,5-36,1-9,2013-14,2014,Milwaukee Bucks,MIL
Utah,Jazz,West,13-39,15,25,57,0.305,16-25,9-32,2-8,2013-14,2014,Utah Jazz,UTA
