City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Cleveland,Cavaliers,East,22-5 ,1,33,5,0.868,20-2 ,13-3 ,9-1  ,2024-25,2025,Cleveland Cavaliers,CLE
Oklahoma City,Thunder,West,19-5 ,1,32,6,0.842,16-2 ,15-4 ,9-1  ,2024-25,2025,Oklahoma City Thunder,OKC
Boston,Celtics,East,22-7 ,2,28,11,0.718,14-7 ,14-4 ,6-4  ,2024-25,2025,Boston Celtics,BOS
Houston,Rockets,West,17-8 ,2,26,12,0.684,14-6 ,12-5 ,7-3  ,2024-25,2025,Houston Rockets,HOU
New York,Knicks,East,19-10,3,26,15,0.634,13-7 ,13-8 ,5-5  ,2024-25,2025,New York Knicks,NYK
Memphis,Grizzlies,West,12-12,3,25,15,0.625,15-5 ,10-10,5-5  ,2024-25,2025,Memphis Grizzlies,MEM
Denver,Nuggets,West,15-10,4,23,15,0.605,12-7 ,11-8 ,7-3  ,2024-25,2025,Denver Nuggets,DEN
Orlando,Magic,East,19-11,4,23,18,0.561,14-7 ,9-11 ,4-6  ,2024-25,2025,Orlando Magic,ORL
Dallas,Mavericks,West,16-14,5,22,17,0.564,12-7 ,10-10,3-7  ,2024-25,2025,Dallas Mavericks,DAL
Indiana,Pacers,East,13-14,5,22,18,0.55,11-6 ,11-12,7-3  ,2024-25,2025,Indiana Pacers,IND
LA,Clippers,West,14-16,6,21,17,0.553,13-6 ,8-11 ,5-5  ,2024-25,2025,LA Clippers,
Milwaukee,Bucks,East,17-15,6,20,17,0.541,11-7 ,8-10 ,5-5  ,2024-25,2025,Milwaukee Bucks,MIL
Los Angeles,Lakers,West,16-10,7,20,17,0.541,12-6 ,8-11 ,5-5  ,2024-25,2025,Los Angeles Lakers,LAL
Miami,Heat,East,11-11,7,20,18,0.526,10-7 ,9-11 ,5-5  ,2024-25,2025,Miami Heat,MIA
Minnesota,Timberwolves,West,16-11,8,21,18,0.538,10-8 ,11-10,6-4  ,2024-25,2025,Minnesota Timberwolves,MIN
Detroit,Pistons,East,15-14,8,21,19,0.525,10-9 ,11-10,8-2  ,2024-25,2025,Detroit Pistons,DET
Atlanta,Hawks,East,13-7 ,9,19,19,0.5,10-7 ,9-11 ,5-5  ,2024-25,2025,Atlanta Hawks,ATL
Sacramento,Kings,West,13-14,9,20,19,0.513,10-12,10-7 ,7-3  ,2024-25,2025,Sacramento Kings,SAC
Chicago,Bulls,East,15-13,10,18,21,0.462,8-12 ,10-9 ,5-5  ,2024-25,2025,Chicago Bulls,CHI
Phoenix,Suns,West,14-10,10,19,19,0.5,13-8 ,6-11 ,5-5  ,2024-25,2025,Phoenix Suns,PHX
Philadelphia,76ers,East,12-11,11,15,22,0.405,6-11 ,9-11 ,5-5  ,2024-25,2025,Philadelphia 76ers,PHI
San Antonio,Spurs,West,16-14,11,19,19,0.5,12-8 ,7-11 ,4-6  ,2024-25,2025,San Antonio Spurs,SAS
Golden State,Warriors,West,14-13,12,19,20,0.487,10-10,9-10 ,4-6  ,2024-25,2025,Golden State Warriors,GSW
Brooklyn,Nets,East,7-20 ,12,13,26,0.333,5-12 ,8-14 ,2-8  ,2024-25,2025,Brooklyn Nets,BKN
Portland,Trail Blazers,West,11-21,13,13,25,0.342,8-9  ,5-16 ,4-6  ,2024-25,2025,Portland Trail Blazers,POR
Toronto,Raptors,East,5-20 ,13,9,31,0.225,8-13 ,1-18 ,2-8  ,2024-25,2025,Toronto Raptors,TOR
Utah,Jazz,West,3-22 ,14,10,28,0.263,3-14 ,7-14 ,3-7  ,2024-25,2025,Utah Jazz,UTA
Charlotte,Hornets,East,6-24 ,14,8,28,0.222,6-13 ,2-15 ,1-9  ,2024-25,2025,Charlotte Hornets,CHA
New Orleans,Pelicans,West,3-19 ,15,8,32,0.2,5-16 ,3-16 ,3-7  ,2024-25,2025,New Orleans Pelicans,NOP
Washington,Wizards,East,5-19 ,15,6,32,0.158,5-16 ,1-15 ,1-9  ,2024-25,2025,Washington Wizards,WAS
