City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Los Angeles,Lakers,West,44-12,1,63,19,0.768,37-4,26-15,,1989-90,1990,Los Angeles Lakers,LAL
Detroit,Pistons,East,40-14,1,59,23,0.72,35-6,24-17,,1989-90,1990,Detroit Pistons,DET
Philadelphia,76ers,East,37-17,2,53,29,0.646,34-7,19-22,,1989-90,1990,Philadelphia 76ers,PHI
San Antonio,Spurs,West,40-16,2,56,26,0.683,34-7,22-19,,1989-90,1990,San Antonio Spurs,SAS
Portland,Trail Blazers,West,41-15,3,59,23,0.72,35-6,24-17,,1989-90,1990,Portland Trail Blazers,POR
Chicago,Bulls,East,37-17,3,55,27,0.671,36-5,19-22,,1989-90,1990,Chicago Bulls,CHI
Boston,Celtics,East,36-18,4,52,30,0.634,30-11,22-19,,1989-90,1990,Boston Celtics,BOS
Utah,Jazz,West,38-18,4,55,27,0.671,36-5,19-22,,1989-90,1990,Utah Jazz,UTA
Phoenix,Suns,West,38-18,5,54,28,0.659,32-9,22-19,,1989-90,1990,Phoenix Suns,PHX
New York,Knicks,East,30-24,5,45,37,0.549,29-12,16-25,,1989-90,1990,New York Knicks,NYK
Dallas,Mavericks,West,29-27,6,47,35,0.573,30-11,17-24,,1989-90,1990,Dallas Mavericks,DAL
Milwaukee,Bucks,East,28-26,6,44,38,0.537,27-14,17-24,,1989-90,1990,Milwaukee Bucks,MIL
Cleveland,Cavaliers,East,30-24,7,42,40,0.512,27-14,15-26,,1989-90,1990,Cleveland Cavaliers,CLE
Denver,Nuggets,West,28-28,7,43,39,0.524,28-13,15-26,,1989-90,1990,Denver Nuggets,DEN
Indiana,Pacers,East,30-24,7,42,40,0.512,28-13,14-27,,1989-90,1990,Indiana Pacers,IND
Houston,Rockets,West,28-28,8,41,41,0.5,31-10,10-31,,1989-90,1990,Houston Rockets,HOU
Seattle,SuperSonics,West,26-30,8,41,41,0.5,30-11,11-30,,1989-90,1990,Seattle SuperSonics,
Atlanta,Hawks,East,27-27,9,41,41,0.5,25-16,16-25,,1989-90,1990,Atlanta Hawks,ATL
Golden State,Warriors,West,24-32,10,37,45,0.451,27-14,10-31,,1989-90,1990,Golden State Warriors,GSW
Washington,Bullets,East,20-34,10,31,51,0.378,20-21,11-30,,1989-90,1990,Washington Bullets,
Miami,Heat,East,11-43,11,18,64,0.22,11-30,7-34,,1989-90,1990,Miami Heat,MIA
Los Angeles,Clippers,West,17-39,11,30,52,0.366,20-21,10-31,,1989-90,1990,Los Angeles Clippers,LAC
Orlando,Magic,East,12-42,11,18,64,0.22,12-29,6-35,,1989-90,1990,Orlando Magic,ORL
Sacramento,Kings,West,14-42,12,23,59,0.28,16-25,7-34,,1989-90,1990,Sacramento Kings,SAC
Minnesota,Timberwolves,West,12-44,13,22,60,0.268,17-24,5-36,,1989-90,1990,Minnesota Timberwolves,MIN
New Jersey,Nets,East,13-41,13,17,65,0.207,13-28,4-37,,1989-90,1990,New Jersey Nets,
Charlotte,Hornets,West,13-43,14,19,63,0.232,13-28,6-35,,1989-90,1990,Charlotte Hornets,CHA
