RK,NAME,TEAM,SALARY,YEAR,Pos
1,Stephen Curry,Golden State Warriors,37457154,2018,PG
2,Blake Griffin,Detroit Pistons,32088932,2018,PF
3,Paul Millsap,Denver Nuggets,31269231,2018,PF
4,Kyle Lowry,Toronto Raptors,31200000,2018,PG
5,Gordon Hayward,Boston Celtics,29727900,2018,SF
6,Mike Conley,Memphis Grizzlies,28530608,2018,PG
7,Russell Westbrook,Oklahoma City Thunder,28530608,2018,PG
8,James Harden,Houston Rockets,28299399,2018,SG
9,DeMar DeRozan,Toronto Raptors,27739975,2018,SF
10,Al Horford,Boston Celtics,27734406,2018,C
11,Carmelo Anthony,Oklahoma City Thunder,26243760,2018,PF
12,Damian Lillard,Portland Trail Blazers,26153057,2018,PG
13,Otto Porter Jr.,Washington Wizards,26011913,2018,SF
14,Jrue Holiday,New Orleans Pelicans,25686667,2018,PG
15,Bradley Beal,Washington Wizards,25434263,2018,SG
16,Andre Drummond,Detroit Pistons,25434263,2018,C
17,Hassan Whiteside,Miami Heat,25434262,2018,C
18,Joel Embiid,Philadelphia 76ers,25250000,2018,C
19,Chris Paul,Houston Rockets,24599495,2018,PG
20,Giannis Antetokounmpo,Milwaukee Bucks,24157303,2018,PF
21,Kevin Love,Cleveland Cavaliers,24119025,2018,PF
22,Nicolas Batum,Charlotte Hornets,24000000,2018,PF
23,CJ McCollum,Portland Trail Blazers,23962573,2018,SG
24,Dwight Howard,Charlotte Hornets,23819725,2018,C
25,Anthony Davis,New Orleans Pelicans,23775506,2018,PF
26,Harrison Barnes,Dallas Mavericks,23112004,2018,SF
27,Chandler Parsons,Memphis Grizzlies,23112004,2018,SF
28,Brook Lopez,Los Angeles Lakers,22642650,2018,C
29,Marc Gasol,Memphis Grizzlies,22642350,2018,C
30,DeAndre Jordan,LA Clippers,22642350,2018,C
31,Steven Adams,Oklahoma City Thunder,22471910,2018,C
32,Rudy Gobert,Utah Jazz,21924719,2018,C
33,Serge Ibaka,Toronto Raptors,21666667,2018,F
34,LaMarcus Aldridge,San Antonio Spurs,21461010,2018,C
35,Victor Oladipo,Indiana Pacers,21000000,2018,SG
36,Danilo Gallinari,LA Clippers,20559599,2018,PF
37,Ryan Anderson,Houston Rockets,19578455,2018,PF
38,Paul George,Oklahoma City Thunder,19508958,2018,F
39,Jimmy Butler,Minnesota Timberwolves,19301070,2018,SF
40,Tyler Johnson,Miami Heat,19245370,2018,G
41,John Wall,Washington Wizards,19169800,2018,PG
42,Jeff Teague,Minnesota Timberwolves,19000000,2018,PG
43,George Hill,Cleveland Cavaliers,19000000,2018,PG
44,Kawhi Leonard,San Antonio Spurs,18868626,2018,SF
45,Kyrie Irving,Boston Celtics,18868626,2018,PG
46,Enes Freedom,New York Knicks,18622514,2018,C
47,Joakim Noah,New York Knicks,18530000,2018,C
48,Allen Crabbe,Brooklyn Nets,18500000,2018,G
49,Goran Dragic,Miami Heat,18109175,2018,PG
50,Kent Bazemore,Atlanta Hawks,18089887,2018,SF
51,DeMarcus Cousins,New Orleans Pelicans,18063850,2018,C
52,Wesley Matthews,Dallas Mavericks,17884176,2018,SG
53,Klay Thompson,Golden State Warriors,17826150,2018,SG
54,Kentavious Caldwell-Pope,Los Angeles Lakers,17745894,2018,SG
55,Draymond Green,Golden State Warriors,17469565,2018,PF
56,Tristan Thompson,Cleveland Cavaliers,17469565,2018,C
57,Tim Hardaway Jr.,New York Knicks,17325000,2018,SF
58,Luol Deng,Los Angeles Lakers,17190000,2018,F
59,Evan Turner,Portland Trail Blazers,17131148,2018,G
60,Reggie Jackson,Detroit Pistons,17043478,2018,PG
61,Bismack Biyombo,Orlando Magic,17000000,2018,C
62,Evan Fournier,Orlando Magic,17000000,2018,SG
63,Jonas Valanciunas,Toronto Raptors,16539326,2018,C
64,Pau Gasol,San Antonio Spurs,16000000,2018,PF
