RK,NAME,TEAM,SALARY,YEAR,Pos
1,Stephen Curry,Golden State Warriors,51915615,2024,PG
2,Kevin Durant,Phoenix Suns,47649433,2024,PF
3,LeBron James,Los Angeles Lakers,47607350,2024,SF
4,Nikola Jokic,Denver Nuggets,47607350,2024,C
5,Joel Embiid,Philadelphia 76ers,46900000,2024,C
6,Bradley Beal,Phoenix Suns,46741590,2024,SG
7,Giannis Antetokounmpo,Milwaukee Bucks,45640084,2024,PF
8,Damian Lillard,Milwaukee Bucks,45640084,2024,PG
9,Kawhi Leonard,LA Clippers,45640084,2024,SF
10,Paul George,LA Clippers,45640084,2024,F
11,Jimmy Butler,Miami Heat,45183960,2024,SF
12,Klay Thompson,Golden State Warriors,43219440,2024,SG
13,Rudy Gobert,Minnesota Timberwolves,41000000,2024,C
14,Fred VanVleet,Houston Rockets,40806300,2024,PG
15,Anthony Davis,Los Angeles Lakers,40600080,2024,PF
16,Luka Doncic,Dallas Mavericks,40064220,2024,PG
17,Zach LaVine,Chicago Bulls,40064220,2024,SG
18,Trae Young,Atlanta Hawks,40064220,2024,PG
19,Tobias Harris,Philadelphia 76ers,39270150,2024,F
20,Ben Simmons,Brooklyn Nets,37893408,2024,PG
21,Pascal Siakam,Indiana Pacers,37893408,2024,PF
22,Kyrie Irving,Dallas Mavericks,37037037,2024,PG
23,Jrue Holiday,Boston Celtics,36861707,2024,PG
24,Devin Booker,Phoenix Suns,36016200,2024,SG
25,Karl-Anthony Towns,Minnesota Timberwolves,36016200,2024,C
26,Kristaps Porzingis,Boston Celtics,36016200,2024,C
27,CJ McCollum,New Orleans Pelicans,35802469,2024,SG
28,James Harden,LA Clippers,35640000,2024,SG
29,Ja Morant,Memphis Grizzlies,34005250,2024,PG
30,Darius Garland,Cleveland Cavaliers,34005250,2024,PG
31,Zion Williamson,New Orleans Pelicans,34005250,2024,PF
32,Jamal Murray,Denver Nuggets,33833400,2024,PG
33,Brandon Ingram,New Orleans Pelicans,33833400,2024,SF
34,Shai Gilgeous-Alexander,Oklahoma City Thunder,33386850,2024,PG
35,Michael Porter Jr.,Denver Nuggets,33386850,2024,SF
36,Donovan Mitchell,Cleveland Cavaliers,33162030,2024,SG
37,De'Aaron Fox,Sacramento Kings,32600060,2024,PG
38,Bam Adebayo,Miami Heat,32600060,2024,C
39,Jayson Tatum,Boston Celtics,32600060,2024,SF
40,Deandre Ayton,Portland Trail Blazers,32459438,2024,C
