RK,NAME,TEAM,SALARY,YEAR,Pos
1,Stephen Curry,Golden State Warriors,40231758,2020,PG
2,Russell Westbrook,Houston Rockets,38506482,2020,PG
3,Chris Paul,Oklahoma City Thunder,38506482,2020,PG
4,Kevin Durant,Phoenix Suns,38199000,2020,PF
5,James Harden,Houston Rockets,38199000,2020,SG
6,John Wall,Houston Rockets,38199000,2020,PG
7,LeBron James,Los Angeles Lakers,37436858,2020,SF
8,Kyle Lowry,Toronto Raptors,34996296,2020,PG
9,Blake Griffin,Detroit Pistons,34449964,2020,PF
10,Tobias Harris,Philadelphia 76ers,32742000,2020,F
11,Jimmy Butler,Miami Heat,32742000,2020,SF
12,Kawhi Leonard,LA Clippers,32742000,2020,SF
13,Klay Thompson,Dallas Mavericks,32742000,2020,SG
14,Kemba Walker,Boston Celtics,32742000,2020,PG
15,Gordon Hayward,Boston Celtics,32700690,2020,SF
16,Mike Conley,Utah Jazz,32511624,2020,PG
17,Kyrie Irving,Brooklyn Nets,31742000,2020,PG
18,Khris Middleton,Milwaukee Bucks,30603448,2020,SF
19,Paul George,LA Clippers,30560700,2020,F
20,Paul Millsap,Denver Nuggets,30350000,2020,PF
21,Damian Lillard,Portland Trail Blazers,29802321,2020,PG
22,Kevin Love,Cleveland Cavaliers,28942830,2020,PF
23,Nikola Vucevic,Orlando Magic,28000000,2020,C
24,Al Horford,Philadelphia 76ers,28000000,2020,C
25,DeMar DeRozan,San Antonio Spurs,27739975,2020,SF
26,CJ McCollum,Portland Trail Blazers,27556959,2020,SG
27,Joel Embiid,Philadelphia 76ers,27504630,2020,C
28,Andrew Wiggins,Golden State Warriors,27504630,2020,SF
29,Nikola Jokic,Denver Nuggets,27504630,2020,C
30,Devin Booker,Phoenix Suns,27285000,2020,SG
31,Karl-Anthony Towns,Minnesota Timberwolves,27285000,2020,C
32,D'Angelo Russell,Minnesota Timberwolves,27285000,2020,G
33,Kristaps Porzingis,Dallas Mavericks,27285000,2020,C
34,Otto Porter Jr.,Chicago Bulls,27250575,2020,SF
35,Bradley Beal,Washington Wizards,27093019,2020,SG
36,Andre Drummond,Cleveland Cavaliers,27093019,2020,C
37,Anthony Davis,Los Angeles Lakers,27093018,2020,PF
38,Hassan Whiteside,Portland Trail Blazers,27093017,2020,C
39,Jrue Holiday,New Orleans Pelicans,26231111,2020,PG
40,LaMarcus Aldridge,San Antonio Spurs,26000000,2020,C
41,Giannis Antetokounmpo,Milwaukee Bucks,25842697,2020,PF
42,Steven Adams,Oklahoma City Thunder,25842697,2020,C
43,Marc Gasol,Toronto Raptors,25595700,2020,C
44,Nicolas Batum,Charlotte Hornets,25565217,2020,PF
45,Chandler Parsons,Atlanta Hawks,25102511,2020,SF
46,Harrison Barnes,Sacramento Kings,24147727,2020,SF
47,Serge Ibaka,Toronto Raptors,23271604,2020,F
48,Rudy Gobert,Utah Jazz,23241573,2020,C
49,Danilo Gallinari,Oklahoma City Thunder,22615559,2020,PF
50,Victor Oladipo,Indiana Pacers,21000000,2020,SG
51,Tim Hardaway Jr.,Dallas Mavericks,20025127,2020,SF
52,Malcolm Brogdon,Indiana Pacers,20000000,2020,PG
53,Terry Rozier,Charlotte Hornets,19894737,2020,SG
54,Aaron Gordon,Orlando Magic,19863636,2020,PF
55,Zach LaVine,Chicago Bulls,19500000,2020,SG
56,Kent Bazemore,Sacramento Kings,19269662,2020,SF
57,Goran Dragic,Miami Heat,19217900,2020,PG
58,Jeff Teague,Atlanta Hawks,19000000,2020,PG
59,Evan Turner,Atlanta Hawks,18606556,2020,G
60,Draymond Green,Golden State Warriors,18539130,2020,PF
61,Tristan Thompson,Cleveland Cavaliers,18539130,2020,C
62,Allen Crabbe,Minnesota Timberwolves,18500000,2020,G
63,Julius Randle,New York Knicks,18000000,2020,PF
64,Myles Turner,Indiana Pacers,18000000,2020,C
65,Gary Harris,Denver Nuggets,17839286,2020,SG
66,Derrick Favors,New Orleans Pelicans,17650000,2020,F
67,Andre Iguodala,Miami Heat,17185185,2020,F
68,Evan Fournier,Orlando Magic,17150000,2020,SG
69,Bismack Biyombo,Charlotte Hornets,17000000,2020,C
