RK,NAME,TEAM,SALARY,YEAR,Pos
1,Kobe Bryant,Los Angeles Lakers,25000000,2016,SF
2,LeBron James,Cleveland Cavaliers,22970500,2016,SF
3,Carmelo Anthony,New York Knicks,22875000,2016,PF
4,Dwight Howard,Houston Rockets,22359364,2016,C
5,Chris Bosh,Miami Heat,22192730,2016,PF
6,Chris Paul,LA Clippers,21468695,2016,PG
7,Kevin Durant,Oklahoma City Thunder,20158622,2016,PF
8,Derrick Rose,Chicago Bulls,20093064,2016,PG
9,Dwyane Wade,Miami Heat,20000000,2016,G
10,LaMarcus Aldridge,San Antonio Spurs,19689000,2016,C
11,Brook Lopez,Brooklyn Nets,19689000,2016,C
12,Kevin Love,Cleveland Cavaliers,19689000,2016,PF
13,DeAndre Jordan,LA Clippers,19689000,2016,C
14,Marc Gasol,Memphis Grizzlies,19688000,2016,C
15,Blake Griffin,LA Clippers,18907726,2016,PF
16,Paul Millsap,Atlanta Hawks,18671659,2016,PF
17,Paul George,Indiana Pacers,17120106,2016,F
18,Russell Westbrook,Oklahoma City Thunder,16744218,2016,PG
19,Kyrie Irving,Cleveland Cavaliers,16407501,2016,PG
20,Greg Monroe,Milwaukee Bucks,16407500,2016,C
21,Jimmy Butler,Chicago Bulls,16407500,2016,SF
22,Kawhi Leonard,San Antonio Spurs,16407500,2016,SF
23,Enes Freedom,Oklahoma City Thunder,16407500,2016,C
24,Wesley Matthews,Dallas Mavericks,16407500,2016,SG
25,Tobias Harris,Detroit Pistons,16000000,2016,F
26,John Wall,Washington Wizards,15851950,2016,PG
27,DeMarcus Cousins,Sacramento Kings,15851950,2016,C
28,James Harden,Houston Rockets,15756438,2016,SG
29,Roy Hibbert,Los Angeles Lakers,15592217,2016,C
30,Eric Gordon,New Orleans Pelicans,15514031,2016,SG
31,Klay Thompson,Golden State Warriors,15501000,2016,SG
32,Gordon Hayward,Utah Jazz,15409570,2016,SF
33,Chandler Parsons,Dallas Mavericks,15361500,2016,SF
34,Goran Dragic,Miami Heat,14783000,2016,PG
35,Khris Middleton,Milwaukee Bucks,14700000,2016,SF
36,Draymond Green,Golden State Warriors,14260870,2016,PF
37,Tristan Thompson,Cleveland Cavaliers,14260870,2016,C
38,Danilo Gallinari,Denver Nuggets,14000000,2016,PF
39,Reggie Jackson,Detroit Pistons,13913044,2016,PG
40,Andrew Bogut,Golden State Warriors,13800000,2016,C
41,DeMarre Carroll,Toronto Raptors,13600000,2016,F
42,Eric Bledsoe,Phoenix Suns,13500000,2016,SG
43,Al Jefferson,Charlotte Hornets,13500000,2016,C
44,Brandon Knight,Phoenix Suns,13500000,2016,PG
45,Tony Parker,San Antonio Spurs,13437500,2016,G
46,Joakim Noah,Chicago Bulls,13400000,2016,C
47,Nicolas Batum,Charlotte Hornets,13125306,2016,PF
48,Tyson Chandler,Phoenix Suns,13000000,2016,C
49,Nene Hilario,Washington Wizards,13000000,2016,C
50,Ricky Rubio,Minnesota Timberwolves,12700000,2016,PG
51,Robin Lopez,New York Knicks,12650000,2016,C
52,Rudy Gay,Sacramento Kings,12403101,2016,SF
53,Serge Ibaka,Oklahoma City Thunder,12250000,2016,F
54,Nikola Pekovic,Minnesota Timberwolves,12100000,2016,C
55,Kyle Lowry,Toronto Raptors,12000000,2016,PG
56,Amir Johnson,Boston Celtics,12000000,2016,F
57,Kemba Walker,Charlotte Hornets,12000000,2016,PG
58,Derrick Favors,Utah Jazz,12000000,2016,F
59,Al Horford,Atlanta Hawks,12000000,2016,C
60,Andre Iguodala,Golden State Warriors,11710456,2016,F
61,Stephen Curry,Golden State Warriors,11370786,2016,PG
62,Nikola Vucevic,Orlando Magic,11250000,2016,C
63,Thaddeus Young,Brooklyn Nets,11235955,2016,F
64,Kenneth Faried,Denver Nuggets,11235955,2016,F
65,Marcin Gortat,Washington Wizards,11217391,2016,C
66,Tyreke Evans,New Orleans Pelicans,10734586,2016,G
67,Jrue Holiday,New Orleans Pelicans,10595507,2016,PG
68,Brendan Haywood,Portland Trail Blazers,10522500,2016,C
69,Wilson Chandler,Brooklyn Nets,10449438,2016,F
70,Monta Ellis,Indiana Pacers,10300000,2016,SG
71,Luol Deng,Miami Heat,10151612,2016,F
72,Gerald Wallace,Philadelphia 76ers,10105855,2016,SF
73,DeMar DeRozan,Toronto Raptors,10050000,2016,SF
74,Danny Green,San Antonio Spurs,10000000,2016,F
75,Tiago Splitter,Atlanta Hawks,9756250,2016,C
76,Jeff Green,LA Clippers,9650000,2016,PF
77,Zach Randolph,Memphis Grizzlies,9638555,2016,F
78,Mike Conley,Memphis Grizzlies,9588426,2016,PG
79,Rajon Rondo,Sacramento Kings,9500000,2016,PG
80,Alec Burks,Utah Jazz,9463484,2016,SG
81,Omer Asik,New Orleans Pelicans,9213483,2016,C
