RK,NAME,TEAM,SALARY,YEAR,Pos
1,Kobe Bryant,Los Angeles Lakers,30453805,2014,SF
2,Dirk Nowitzki,Dallas Mavericks,22721381,2014,F
3,Amar'e Stoudemire,New York Knicks,21679893,2014,C
4,Joe Johnson,Brooklyn Nets,21466718,2014,G
5,Carmelo Anthony,New York Knicks,21388953,2014,PF
6,Dwight Howard,Houston Rockets,20513178,2014,C
7,Pau Gasol,Los Angeles Lakers,19285850,2014,PF
8,Chris Bosh,Miami Heat,19067500,2014,PF
9,LeBron James,Miami Heat,19067500,2014,SF
10,Dwyane Wade,Miami Heat,18673000,2014,G
11,Chris Paul,LA Clippers,18668431,2014,PG
12,Deron Williams,Brooklyn Nets,18466130,2014,PG
13,Zach Randolph,Memphis Grizzlies,18238333,2014,F
14,Rudy Gay,Sacramento Kings,17888932,2014,SF
15,Kevin Durant,Oklahoma City Thunder,17832627,2014,PF
16,Derrick Rose,Chicago Bulls,17632688,2014,PG
17,Blake Griffin,LA Clippers,16441500,2014,PF
18,Paul Pierce,Brooklyn Nets,15333334,2014,SF
19,Carlos Boozer,Chicago Bulls,15300000,2014,PF
20,LaMarcus Aldridge,Portland Trail Blazers,14878000,2014,C
21,Marc Gasol,Memphis Grizzlies,14860523,2014,C
22,Brook Lopez,Brooklyn Nets,14693906,2014,C
23,Kevin Love,Minnesota Timberwolves,14693906,2014,PF
24,Russell Westbrook,Oklahoma City Thunder,14693906,2014,PG
25,Emeka Okafor,Philadelphia 76ers,14487500,2014,C
26,Eric Gordon,New Orleans Pelicans,14283844,2014,SG
27,Roy Hibbert,Indiana Pacers,14283844,2014,C
28,Luol Deng,Cleveland Cavaliers,14275000,2014,F
29,Tyson Chandler,New York Knicks,14100538,2014,C
30,Andrew Bogut,Golden State Warriors,14000000,2014,C
31,David Lee,Golden State Warriors,13878000,2014,PF
32,James Harden,Houston Rockets,13701250,2014,SG
33,Al Jefferson,Charlotte Bobcats,13500000,2014,C
34,Josh Smith,Detroit Pistons,13500000,2014,PF
35,Nene Hilario,Washington Wizards,13000000,2014,C
36,Andre Iguodala,Golden State Warriors,12868632,2014,F
37,Tony Parker,San Antonio Spurs,12500000,2014,G
38,Kevin Garnett,Brooklyn Nets,12433735,2014,PF
39,Serge Ibaka,Oklahoma City Thunder,12350000,2014,F
40,Nikola Pekovic,Minnesota Timberwolves,12100000,2014,C
41,Kris Humphries,Boston Celtics,12000000,2014,PF
42,David West,Indiana Pacers,12000000,2014,F
43,Al Horford,Atlanta Hawks,12000000,2014,C
44,Rajon Rondo,Boston Celtics,11954545,2014,PG
45,Andrea Bargnani,New York Knicks,11862500,2014,C
46,Tyreke Evans,New Orleans Pelicans,11796247,2014,G
47,Nicolas Batum,Portland Trail Blazers,11295250,2014,PF
48,Joakim Noah,Chicago Bulls,11100000,2014,C
49,Richard Jefferson,Utah Jazz,11046000,2014,F
50,DeAndre Jordan,LA Clippers,10986550,2014,C
51,Ty Lawson,Denver Nuggets,10786517,2014,G
52,JaVale McGee,Denver Nuggets,10750000,2014,C
53,Tim Duncan,San Antonio Spurs,10361446,2014,C
54,Danilo Gallinari,Milwaukee Bucks,10146925,2014,PF
55,Gerald Wallace,Boston Celtics,10105855,2014,SF
56,Tiago Splitter,San Antonio Spurs,10000000,2014,C
57,Stephen Curry,Golden State Warriors,9887642,2014,PG
58,Jrue Holiday,New Orleans Pelicans,9713484,2014,PG
59,Paul Millsap,Atlanta Hawks,9500000,2014,PF
60,DeMar DeRozan,Toronto Raptors,9500000,2014,SF
61,Shawn Marion,Dallas Mavericks,9316796,2014,SG
62,Steve Nash,Los Angeles Lakers,9300500,2014,PG
63,Anderson Varejao,Cleveland Cavaliers,9036364,2014,C
64,Thaddeus Young,Philadelphia 76ers,8850000,2014,F
65,Kendrick Perkins,Oklahoma City Thunder,8727437,2014,C
66,Jeff Green,Boston Celtics,8700000,2014,PF
67,Mike Conley,Memphis Grizzlies,8600001,2014,PG
68,Charlie Villanueva,Detroit Pistons,8580000,2014,PF
69,Rodney Stuckey,Detroit Pistons,8500000,2014,PG
70,Jeremy Lin,Houston Rockets,8374646,2014,G
71,Omer Asik,Houston Rockets,8374646,2014,C
72,Ryan Anderson,New Orleans Pelicans,8308500,2014,PF
73,Marcus Thornton,Brooklyn Nets,8050000,2014,SG
74,Jeff Teague,Atlanta Hawks,8000000,2014,PG
75,O.J. Mayo,Milwaukee Bucks,8000000,2014,SG
76,George Hill,Indiana Pacers,8000000,2014,PG
77,Monta Ellis,Dallas Mavericks,8000000,2014,SG
78,Ersan Ilyasova,Milwaukee Bucks,7900000,2014,PF
79,Trevor Ariza,Washington Wizards,7727280,2014,SF
80,Marcin Gortat,Washington Wizards,7727280,2014,C
81,Brandon Jennings,Detroit Pistons,7655503,2014,G
82,John Salmons,Toronto Raptors,7583000,2014,SF
83,Taj Gibson,Chicago Bulls,7550000,2014,F
84,Manu Ginobili,San Antonio Spurs,7500000,2014,G
85,Arron Afflalo,Orlando Magic,7500000,2014,G
86,Goran Dragic,Phoenix Suns,7500000,2014,PG
87,Marvin Williams,Utah Jazz,7500000,2014,F
88,John Wall,Washington Wizards,7459925,2014,PG
89,Tayshaun Prince,Memphis Grizzlies,7235955,2014,SF
90,Wesley Matthews,Portland Trail Blazers,6875480,2014,SG
91,Jose Calderon,Dallas Mavericks,6791570,2014,G
92,Kyle Korver,Atlanta Hawks,6760563,2014,G
93,Evan Turner,Indiana Pacers,6679867,2014,G
