RK,NAME,TEAM,SALARY,YEAR,Pos
1,Stephen Curry,Golden State Warriors,45780966,2022,PG
2,James Harden,Philadelphia 76ers,44310840,2022,SG
3,John Wall,Houston Rockets,44310840,2022,PG
4,Russell Westbrook,Los Angeles Lakers,44211146,2022,PG
5,Kevin Durant,Brooklyn Nets,42018900,2022,PF
6,LeBron James,Los Angeles Lakers,41180544,2022,SF
7,Giannis Antetokounmpo,Milwaukee Bucks,39344970,2022,PF
8,Damian Lillard,Portland Trail Blazers,39344900,2022,PG
9,Kawhi Leonard,LA Clippers,39344900,2022,SF
10,Paul George,LA Clippers,39344900,2022,F
11,Klay Thompson,Golden State Warriors,37980720,2022,SG
12,Jimmy Butler,Miami Heat,36016200,2022,SF
13,Tobias Harris,Philadelphia 76ers,35995950,2022,F
14,Khris Middleton,Milwaukee Bucks,35500000,2022,SF
15,Anthony Davis,Los Angeles Lakers,35361360,2022,PF
16,Rudy Gobert,Utah Jazz,35344828,2022,C
17,Kyrie Irving,Brooklyn Nets,35328700,2022,PG
18,Bradley Beal,Washington Wizards,33724200,2022,SG
19,Ben Simmons,Brooklyn Nets,33003936,2022,PG
20,Pascal Siakam,Toronto Raptors,33003936,2022,PF
21,Jrue Holiday,Milwaukee Bucks,32413333,2022,PG
22,Devin Booker,Phoenix Suns,31650600,2022,SG
23,Karl-Anthony Towns,Minnesota Timberwolves,31650600,2022,C
24,Kristaps Porzingis,Washington Wizards,31650600,2022,C
25,Joel Embiid,Philadelphia 76ers,31579390,2022,C
26,Andrew Wiggins,Golden State Warriors,31579390,2022,SF
27,Nikola Jokic,Denver Nuggets,31579390,2022,C
28,Kevin Love,Cleveland Cavaliers,31258256,2022,PF
29,CJ McCollum,New Orleans Pelicans,30864198,2022,SG
30,D'Angelo Russell,Minnesota Timberwolves,30013500,2022,G
31,Chris Paul,Phoenix Suns,30000000,2022,PG
32,Gordon Hayward,Charlotte Hornets,29925000,2022,SF
33,Jamal Murray,Denver Nuggets,29467800,2022,PG
34,Brandon Ingram,New Orleans Pelicans,29467800,2022,SF
35,De'Aaron Fox,Sacramento Kings,28103550,2022,PG
36,Bam Adebayo,Miami Heat,28103500,2022,C
37,Donovan Mitchell,Utah Jazz,28103500,2022,SG
38,Jayson Tatum,Boston Celtics,28103500,2022,SF
39,Al Horford,Boston Celtics,27000000,2022,C
40,Kyle Lowry,Miami Heat,26894128,2022,PG
41,Jaylen Brown,Boston Celtics,26758928,2022,SG
42,DeMar DeRozan,Chicago Bulls,26000000,2022,SF
43,Draymond Green,Golden State Warriors,24026712,2022,PF
44,Nikola Vucevic,Chicago Bulls,24000000,2022,C
45,John Collins,Atlanta Hawks,23000000,2022,PF
46,Buddy Hield,Indiana Pacers,22768890,2022,SG
47,Julius Randle,New York Knicks,21780000,2022,PF
48,Malcolm Brogdon,Indiana Pacers,21700000,2022,PG
49,Tim Hardaway Jr.,Dallas Mavericks,21308816,2022,SF
50,Mike Conley,Utah Jazz,21000000,2022,PG
51,Gary Harris,Orlando Magic,20482143,2022,SG
52,Danilo Gallinari,Atlanta Hawks,20475000,2022,PF
53,Harrison Barnes,Sacramento Kings,20284091,2022,SF
54,Jerami Grant,Detroit Pistons,20002500,2022,SF
55,Jarrett Allen,Cleveland Cavaliers,20000000,2022,C
56,Domantas Sabonis,Sacramento Kings,19800000,2022,PF
57,Fred VanVleet,Toronto Raptors,19675926,2022,PG
58,Zach LaVine,Chicago Bulls,19500000,2022,SG
59,Bojan Bogdanovic,Utah Jazz,18700000,2022,SF
60,Lonzo Ball,Chicago Bulls,18604651,2022,PG
61,Clint Capela,Atlanta Hawks,18603448,2022,C
62,Eric Gordon,Houston Rockets,18218818,2022,SG
63,Eric Bledsoe,LA Clippers,18125000,2022,SG
64,Myles Turner,Indiana Pacers,18000000,2022,C
65,Bogdan Bogdanovic,Atlanta Hawks,18000000,2022,SG
66,Terry Rozier,Charlotte Hornets,17905263,2022,SG
67,Ricky Rubio,Cleveland Cavaliers,17800000,2022,PG
68,Caris LeVert,Cleveland Cavaliers,17500000,2022,SG
69,Jonathan Isaac,Orlando Magic,17400000,2022,PF
70,Joe Harris,Brooklyn Nets,17357143,2022,SF
71,Spencer Dinwiddie,Dallas Mavericks,17142857,2022,PG
72,Steven Adams,Memphis Grizzlies,17073171,2022,C
73,Evan Fournier,New York Knicks,17000000,2022,SG
74,Markelle Fultz,Orlando Magic,16500000,2022,PG
75,Aaron Gordon,Denver Nuggets,16409091,2022,PF
76,OG Anunoby,Toronto Raptors,16071429,2022,SF
77,Davis Bertans,Dallas Mavericks,16000000,2022,SF
78,Gary Trent Jr.,Toronto Raptors,16000000,2022,SG
79,Lauri Markkanen,Cleveland Cavaliers,15690909,2022,PF
80,Duncan Robinson,Miami Heat,15650000,2022,F
81,Marcus Morris Sr.,LA Clippers,15627907,2022,F
82,Will Barton,Denver Nuggets,15625000,2022,G
83,Norman Powell,LA Clippers,15517241,2022,G
84,Dejounte Murray,San Antonio Spurs,15428880,2022,SG
85,Derrick White,Boston Celtics,15178571,2022,PG
86,Malik Beasley,Minnesota Timberwolves,14491964,2022,SG
87,Marcus Smart,Boston Celtics,14339285,2022,PG
88,Patrick Beverley,Minnesota Timberwolves,14320988,2022,PG
89,Thaddeus Young,Toronto Raptors,14190000,2022,F
90,Jonas Valanciunas,New Orleans Pelicans,14000000,2022,C
91,Doug McDermott,San Antonio Spurs,13750000,2022,SF
92,Christian Wood,Houston Rockets,13666667,2022,F
93,Derrick Rose,New York Knicks,13445120,2022,PG
94,Luke Kennard,LA Clippers,13347727,2022,SG
95,Brook Lopez,Milwaukee Bucks,13302325,2022,C
96,Kentavious Caldwell-Pope,Washington Wizards,13038862,2022,SG
97,Joe Ingles,Utah Jazz,13036364,2022,SG
98,Kyle Kuzma,Washington Wizards,13000000,2022,SF
99,Taurean Prince,Minnesota Timberwolves,13000000,2022,PF
100,Robert Covington,LA Clippers,12975471,2022,PF
101,T.J. Warren,New York Knicks,12690000,2022,SF
102,Deandre Ayton,Phoenix Suns,12632950,2022,C
