RK,NAME,TEAM,SALARY,YEAR,Pos
1,Kobe Bryant,Los Angeles Lakers,25244493,2012,SF
2,Kevin Garnett,Boston Celtics,21247044,2012,PF
3,Tim Duncan,San Antonio Spurs,21164619,2012,C
4,Rashard Lewis,Washington Wizards,21136631,2012,PF
5,Dirk Nowitzki,Dallas Mavericks,19092873,2012,F
6,Pau Gasol,Los Angeles Lakers,18714150,2012,PF
7,Carmelo Anthony,New York Knicks,18518574,2012,PF
8,Amar'e Stoudemire,New York Knicks,18217705,2012,C
9,Elton Brand,Philadelphia 76ers,18160355,2012,PF
10,Dwight Howard,Orlando Magic,18091770,2012,C
11,Joe Johnson,Atlanta Hawks,18038573,2012,G
12,Andrei Kirilenko,Philadelphia 76ers,17823000,2012,SF
13,Chris Bosh,Miami Heat,17545000,2012,PF
14,LeBron James,Miami Heat,17545000,2012,SF
15,Chris Paul,LA Clippers,16359805,2012,PG
16,Deron Williams,New Jersey Nets,16359805,2012,PG
17,Dwyane Wade,Miami Heat,15691000,2012,G
18,Kevin Durant,Oklahoma City Thunder,15506632,2012,PF
19,Paul Pierce,Boston Celtics,15333334,2012,SF
20,Zach Randolph,Memphis Grizzlies,15200000,2012,F
21,Antawn Jamison,Cleveland Cavaliers,15076715,2012,PF
22,Brandon Roy,Minnesota Timberwolves,15032144,2012,SG
23,Rudy Gay,Memphis Grizzlies,15032144,2012,SF
24,Al Jefferson,Utah Jazz,15000000,2012,C
25,Andrew Bynum,Los Angeles Lakers,14900000,2012,C
26,Andre Iguodala,Philadelphia 76ers,14718250,2012,F
27,Manu Ginobili,San Antonio Spurs,14107492,2012,G
28,Chris Kaman,New Orleans Hornets,14030000,2012,C
29,LaMarcus Aldridge,Portland Trail Blazers,14000000,2012,C
30,Carlos Boozer,Chicago Bulls,13500000,2012,PF
31,Tyson Chandler,New York Knicks,13107837,2012,C
32,Nene Hilario,Washington Wizards,13000000,2012,C
33,Marc Gasol,Memphis Grizzlies,12922194,2012,C
34,Emeka Okafor,New Orleans Hornets,12642500,2012,C
35,Tony Parker,San Antonio Spurs,12500000,2012,G
36,Al Horford,Atlanta Hawks,12498483,2012,C
37,Josh Smith,Atlanta Hawks,12400000,2012,PF
38,Luol Deng,Chicago Bulls,12325000,2012,F
39,Danny Granger,Indiana Pacers,12015904,2012,SF
40,Joakim Noah,Chicago Bulls,12000000,2012,C
41,Andrew Bogut,Milwaukee Bucks,12000000,2012,C
42,Steve Nash,Phoenix Suns,11689062,2012,PG
43,David Lee,Golden State Warriors,11610000,2012,PF
44,Ben Gordon,Detroit Pistons,11600000,2012,SG
45,Kevin Martin,Houston Rockets,11519840,2012,SG
46,Marcus Camby,Houston Rockets,11227250,2012,C
47,Jason Terry,Dallas Mavericks,11158000,2012,G
48,Hedo Turkoglu,Orlando Magic,11015850,2012,SF
49,Monta Ellis,Milwaukee Bucks,11000000,2012,SG
50,Mehmet Okur,New Jersey Nets,10890000,2012,C
51,Jose Calderon,Toronto Raptors,10561982,2012,G
52,Corey Maggette,Charlotte Bobcats,10262069,2012,SF
53,Jason Kidd,Dallas Mavericks,10121000,2012,PG
54,DeAndre Jordan,LA Clippers,10079404,2012,C
55,Rajon Rondo,Boston Celtics,10045454,2012,PG
56,Andrea Bargnani,Toronto Raptors,10000000,2012,C
57,Ray Allen,Boston Celtics,10000000,2012,SG
58,David West,Indiana Pacers,10000000,2012,F
59,Gerald Wallace,New Jersey Nets,9500000,2012,SF
60,Cuttino Mobley,LA Clippers,9500000,2012,SG
61,Devin Harris,Utah Jazz,9319000,2012,G
