RK,NAME,TEAM,SALARY,YEAR,Pos
1,Stephen Curry,Golden State Warriors,48070014,2023,PG
2,LeBron James,Los Angeles Lakers,44474988,2023,SF
3,Kevin Durant,Phoenix Suns,44119845,2023,PF
4,Bradley Beal,Washington Wizards,43279250,2023,SG
5,Giannis Antetokounmpo,Milwaukee Bucks,42492492,2023,PF
6,Damian Lillard,Portland Trail Blazers,42492492,2023,PG
7,Kawhi Leonard,LA Clippers,42492492,2023,SF
8,Paul George,LA Clippers,42492492,2023,F
9,Klay Thompson,Golden State Warriors,40600080,2023,SG
10,Kyrie Irving,Dallas Mavericks,38917057,2023,PG
11,Rudy Gobert,Minnesota Timberwolves,38172414,2023,C
12,Anthony Davis,Los Angeles Lakers,37980720,2023,PF
13,Khris Middleton,Milwaukee Bucks,37948276,2023,SF
14,Jimmy Butler,Miami Heat,37653300,2023,SF
15,Tobias Harris,Philadelphia 76ers,37633050,2023,F
16,Zach LaVine,Chicago Bulls,37096500,2023,SG
17,Luka Doncic,Dallas Mavericks,37095000,2023,PG
18,Trae Young,Atlanta Hawks,37095000,2023,PG
19,Ben Simmons,Brooklyn Nets,35448672,2023,PG
20,Pascal Siakam,Toronto Raptors,35448672,2023,PF
21,Myles Turner,Indiana Pacers,35096500,2023,C
22,Devin Booker,Phoenix Suns,33833400,2023,SG
23,Karl-Anthony Towns,Minnesota Timberwolves,33833400,2023,C
24,Kristaps Porzingis,Washington Wizards,33833400,2023,C
25,Jrue Holiday,Milwaukee Bucks,33665040,2023,PG
26,Joel Embiid,Philadelphia 76ers,33616770,2023,C
27,Andrew Wiggins,Golden State Warriors,33616770,2023,SF
28,CJ McCollum,New Orleans Pelicans,33333333,2023,SG
29,Nikola Jokic,Denver Nuggets,33047804,2023,C
30,James Harden,Philadelphia 76ers,33000000,2023,SG
31,Brandon Ingram,New Orleans Pelicans,31650600,2023,SF
32,Jamal Murray,Denver Nuggets,31650000,2023,PG
33,D'Angelo Russell,Los Angeles Lakers,31377750,2023,G
34,Shai Gilgeous-Alexander,Oklahoma City Thunder,30913750,2023,PG
35,Deandre Ayton,Phoenix Suns,30913750,2023,C
36,Michael Porter Jr.,Denver Nuggets,30913750,2023,SF
37,Donovan Mitchell,Cleveland Cavaliers,30913750,2023,SG
38,Bam Adebayo,Miami Heat,30351780,2023,C
39,Gordon Hayward,Charlotte Hornets,30075000,2023,SF
40,Jaren Jackson Jr.,Memphis Grizzlies,28946605,2023,PF
41,Jaylen Brown,Boston Celtics,28741071,2023,SG
42,Chris Paul,Phoenix Suns,28400000,2023,PG
43,Kyle Lowry,Miami Heat,28333334,2023,PG
44,De'Aaron Fox,Sacramento Kings,28103550,2023,PG
45,Jayson Tatum,Boston Celtics,28103500,2023,SF
46,Jalen Brunson,New York Knicks,27733332,2023,PG
47,DeMar DeRozan,Chicago Bulls,27300000,2023,SF
48,Al Horford,Boston Celtics,26500000,2023,C
49,Draymond Green,Golden State Warriors,25806468,2023,PF
50,Julius Randle,New York Knicks,23760000,2023,PF
51,John Collins,Atlanta Hawks,23500000,2023,PF
52,Buddy Hield,Indiana Pacers,22768890,2023,SG
53,Mike Conley,Minnesota Timberwolves,22680000,2023,PG
54,Malcolm Brogdon,Boston Celtics,22600000,2023,PG
55,Anfernee Simons,Portland Trail Blazers,22321429,2023,SG
56,Nikola Vucevic,Chicago Bulls,22000000,2023,C
57,Terry Rozier,Charlotte Hornets,21486283,2023,SG
58,Fred VanVleet,Toronto Raptors,21250000,2023,PG
59,Jerami Grant,Portland Trail Blazers,20955000,2023,SF
60,Mikal Bridges,Brooklyn Nets,20100000,2023,SF
61,Jarrett Allen,Cleveland Cavaliers,20000000,2023,C
62,Aaron Gordon,Denver Nuggets,19690909,2023,PF
63,Tim Hardaway Jr.,Dallas Mavericks,19602273,2023,SF
64,Bojan Bogdanovic,Detroit Pistons,19550000,2023,SF
65,Lonzo Ball,Chicago Bulls,19534884,2023,PG
66,Spencer Dinwiddie,Brooklyn Nets,19500000,2023,PG
67,Eric Bledsoe,Portland Trail Blazers,19375000,2023,SG
68,Caris LeVert,Cleveland Cavaliers,18796296,2023,SG
69,Clint Capela,Atlanta Hawks,18706896,2023,C
70,Joe Harris,Brooklyn Nets,18642857,2023,SF
71,Domantas Sabonis,Sacramento Kings,18500000,2023,PF
72,Harrison Barnes,Sacramento Kings,18352273,2023,SF
73,Evan Fournier,New York Knicks,18000000,2023,SG
74,Bogdan Bogdanovic,Atlanta Hawks,18000000,2023,SG
75,Steven Adams,Memphis Grizzlies,17926829,2023,C
76,Gary Trent Jr.,Toronto Raptors,17505000,2023,SG
77,Jonathan Isaac,Orlando Magic,17400000,2023,PF
78,OG Anunoby,Toronto Raptors,17357143,2023,SF
79,Marcus Smart,Boston Celtics,17207141,2023,PG
80,Mitchell Robinson,New York Knicks,17045454,2023,C
81,Duncan Robinson,Miami Heat,16902000,2023,F
82,Derrick White,Boston Celtics,16892857,2023,PG
83,Norman Powell,LA Clippers,16758621,2023,G
84,Dejounte Murray,Atlanta Hawks,16571120,2023,SG
85,Collin Sexton,Utah Jazz,16500000,2023,PG
86,Markelle Fultz,Orlando Magic,16500000,2023,PG
87,Lauri Markkanen,Utah Jazz,16475454,2023,PF
88,Marcus Morris Sr.,LA Clippers,16372093,2023,F
89,Davis Bertans,Dallas Mavericks,16000000,2023,SF
90,Jusuf Nurkic,Portland Trail Blazers,15625000,2023,C
91,Malik Beasley,Los Angeles Lakers,15558035,2023,SG
92,Luguentz Dort,Oklahoma City Thunder,15277778,2023,G
93,Jonas Valanciunas,New Orleans Pelicans,14700000,2023,C
94,Kevin Huerter,Sacramento Kings,14508929,2023,SG
95,Luke Kennard,Memphis Grizzlies,14415545,2023,SG
96,Christian Wood,Dallas Mavericks,14317460,2023,F
97,Wendell Carter Jr.,Orlando Magic,14150000,2023,C
98,Kentavious Caldwell-Pope,Denver Nuggets,14004703,2023,SG
99,Brook Lopez,Milwaukee Bucks,13906976,2023,C
100,Doug McDermott,San Antonio Spurs,13750000,2023,SF
101,Zion Williamson,New Orleans Pelicans,13534817,2023,PF
102,Jordan Clarkson,Utah Jazz,13340000,2023,PG
103,Kyle Kuzma,Washington Wizards,13000000,2023,SF
104,Gary Harris,Orlando Magic,13000000,2023,SG
105,Josh Hart,New York Knicks,12960000,2023,SG
106,Dorian Finney-Smith,Brooklyn Nets,12939648,2023,PF
107,Chris Boucher,Toronto Raptors,12690000,2023,PF
108,Kelly Oubre Jr.,Charlotte Hornets,12600000,2023,SG
109,Marvin Bagley III,Detroit Pistons,12500000,2023,PF
110,Robert Covington,LA Clippers,12307692,2023,PF
111,Kelly Olynyk,Utah Jazz,12195122,2023,PF
112,Josh Richardson,New Orleans Pelicans,11615328,2023,SG
113,Devonte' Graham,San Antonio Spurs,11550000,2023,PG
114,Dillon Brooks,Memphis Grizzlies,11400000,2023,SF
115,Richaun Holmes,Sacramento Kings,11215260,2023,F
116,Dwight Powell,Dallas Mavericks,11080125,2023,C
117,Paolo Banchero,Orlando Magic,11055120,2023,PF
118,Robert Williams III,Boston Celtics,10937502,2023,C
119,RJ Barrett,New York Knicks,10900635,2023,SG
120,Nicolas Batum,LA Clippers,10843350,2023,PF
121,Bobby Portis,Milwaukee Bucks,10843350,2023,F
122,Anthony Edwards,Minnesota Timberwolves,10733400,2023,SG
123,Cade Cunningham,Detroit Pistons,10552800,2023,PG
124,P.J. Tucker,Philadelphia 76ers,10490000,2023,PF
125,Mo Bamba,Los Angeles Lakers,10300000,2023,C
126,Talen Horton-Tucker,Utah Jazz,10260000,2023,SF
127,Derrick Favors,Chicago Bulls,10183800,2023,F
128,Jae Crowder,Milwaukee Bucks,10183000,2023,PF
129,Ivica Zubac,LA Clippers,10123457,2023,C
130,Alec Burks,Detroit Pistons,10012800,2023,SG
131,Reggie Bullock Jr.,Dallas Mavericks,10012800,2023,SF
132,Chet Holmgren,Oklahoma City Thunder,9891240,2023,PF
133,De'Andre Hunter,Atlanta Hawks,9835881,2023,SF
134,Larry Nance Jr.,New Orleans Pelicans,9672727,2023,PF
135,Ja Morant,Memphis Grizzlies,9603360,2023,PG
136,James Wiseman,Detroit Pistons,9603360,2023,C
